celltype,area_type,beta_scz,se,pval,ci_lo,ci_hi,pct_change_scz,n_ctrl,n_scz,n_samples_ctrl,n_samples_scz,converged,fdr
Micro-PVM_2_3-SEAAD,nucleus,0.01189,0.02569,0.6436,-0.03846,0.06223,1.2,11367,9262,12,12,True,0.9817
Micro-PVM_3-SEAAD,cell,-0.00383,0.01512,0.7998,-0.03347,0.0258,-0.38,7183,5943,12,12,True,0.9485
Micro-PVM_3-SEAAD,nucleus,-0.00933,0.02739,0.7334,-0.06301,0.04435,-0.93,7183,5943,12,12,True,0.9817
Micro-PVM_4-SEAAD,cell,0.02605,0.03034,0.3906,-0.03342,0.08552,2.64,2791,5000,12,12,True,0.8955
Micro-PVM_4-SEAAD,nucleus,0.03305,0.05129,0.5194,-0.06749,0.13359,3.36,2791,5000,12,12,True,0.9817
OPC_1,cell,0.01738,0.02523,0.4908,-0.03207,0.06683,1.75,1129,1432,12,12,True,0.8955
OPC_1,nucleus,-0.00504,0.0596,0.9326,-0.12186,0.11177,-0.5,1129,1432,12,12,True,0.9817
OPC_2_1-SEAAD,cell,-0.00703,0.01739,0.6861,-0.04111,0.02705,-0.7,16178,15374,12,12,True,0.9485
OPC_2_1-SEAAD,nucleus,-0.02369,0.03211,0.4606,-0.08663,0.03925,-2.34,16178,15374,12,12,True,0.9817
OPC_2_2-SEAAD,cell,0.04054,0.03471,0.2428,-0.02749,0.10858,4.14,2310,4151,12,12,True,0.8094
OPC_2_2-SEAAD,nucleus,0.09282,0.0848,0.2737,-0.07338,0.25903,9.73,2310,4151,12,12,True,0.9817
Oligo_1,cell,-0.03297,0.01398,0.0183,-0.06037,-0.00558,-3.24,11024,11369,12,12,True,0.4916
Oligo_1,nucleus,-0.00314,0.02345,0.8935,-0.0491,0.04282,-0.31,11024,11369,12,12,True,0.9817
Oligo_2_1-SEAAD,cell,0.05659,0.03281,0.0846,-0.00772,0.12091,5.82,23823,69741,12,12,True,0.6520
Oligo_2_1-SEAAD,nucleus,0.22197,0.09683,0.0219,0.03217,0.41176,24.85,23823,69741,12,12,True,0.4378
Oligo_3,cell,0.03864,0.0243,0.1118,-0.00899,0.08626,3.94,20966,29578,12,12,True,0.6520
Oligo_3,nucleus,0.17965,0.05848,0.0021,0.06503,0.29427,19.68,20966,29578,12,12,True,0.1276
Oligo_4,cell,-0.01309,0.0155,0.3985,-0.04346,0.01729,-1.3,83415,54300,12,12,True,0.8955
Oligo_4,nucleus,0.00474,0.02554,0.8528,-0.04531,0.05479,0.47,83415,54300,12,12,True,0.9817
Pax6_1,cell,0.00081,0.02496,0.9742,-0.04812,0.04973,0.08,1010,838,12,12,True,0.9951
Pax6_1,nucleus,-0.0147,0.04336,0.7345,-0.09968,0.07028,-1.46,1010,838,12,12,True,0.9817
Pax6_2,cell,-0.01223,0.02065,0.5535,-0.0527,0.02823,-1.22,1208,936,12,12,True,0.9200
Pax6_2,nucleus,-0.01256,0.03167,0.6917,-0.07463,0.04951,-1.25,1208,936,12,12,True,0.9817
Pericyte_1,cell,0.00773,0.01924,0.6878,-0.02998,0.04544,0.78,7187,7434,12,12,True,0.9485
Pericyte_1,nucleus,0.0036,0.01935,0.8522,-0.03431,0.04152,0.36,7187,7434,12,12,True,0.9817
Pericyte_2-SEAAD,cell,0.00032,0.03162,0.9918,-0.06164,0.06229,0.03,16942,25580,12,12,True,0.9951
Pericyte_2-SEAAD,nucleus,-0.02679,0.04407,0.5433,-0.11317,0.0596,-2.64,16942,25580,12,12,True,0.9817
Pvalb_10,cell,-0.00917,0.02476,0.7111,-0.05771,0.03936,-0.91,994,660,12,12,True,0.9485
Pvalb_10,nucleus,-0.04159,0.04061,0.3057,-0.12119,0.038,-4.07,994,660,12,12,True,0.9817
Pvalb_12,cell,-0.03506,0.01994,0.0786,-0.07413,0.00401,-3.45,789,1002,12,12,True,0.6520
Pvalb_12,nucleus,-0.07692,0.039,0.0486,-0.15335,-0.00049,-7.4,789,1002,12,12,True,0.5996
Pvalb_13,cell,-0.01195,0.02874,0.6775,-0.06828,0.04438,-1.19,526,247,12,12,True,0.9485
Pvalb_13,nucleus,-0.03596,0.04476,0.4217,-0.12369,0.05177,-3.53,526,247,12,12,True,0.9817
Pvalb_15,cell,-0.00361,0.02957,0.9030,-0.06156,0.05435,-0.36,3564,2599,12,12,True,0.9638
Pvalb_15,nucleus,-0.01736,0.04334,0.6887,-0.1023,0.06757,-1.72,3564,2599,12,12,True,0.9817
Pvalb_2,cell,0.0373,0.04104,0.3634,-0.04313,0.11773,3.8,1451,1352,12,12,True,0.8955
Pvalb_2,nucleus,0.02308,0.06987,0.7411,-0.11386,0.16002,2.33,1451,1352,12,12,True,0.9817
Pvalb_5,cell,-0.04652,0.0295,0.1148,-0.10433,0.01129,-4.55,505,355,12,12,True,0.6520
Pvalb_5,nucleus,-0.08359,0.05081,0.0999,-0.18317,0.01599,-8.02,505,355,12,12,True,0.6661
Pvalb_6,cell,-0.01626,0.03432,0.6357,-0.08354,0.05102,-1.61,2904,1819,12,12,True,0.9485
Pvalb_6,nucleus,-0.04055,0.05306,0.4448,-0.14455,0.06345,-3.97,2904,1819,12,12,True,0.9817
Pvalb_9,cell,-0.00908,0.02855,0.7504,-0.06505,0.04688,-0.9,651,668,12,12,True,0.9485
Pvalb_9,nucleus,-0.03601,0.04922,0.4644,-0.13247,0.06046,-3.54,651,668,12,12,True,0.9817
SMC-SEAAD,cell,0.03945,0.02669,0.1394,-0.01286,0.09176,4.02,19471,18389,12,12,True,0.6520
SMC-SEAAD,nucleus,0.01399,0.06618,0.8326,-0.11573,0.1437,1.41,19471,18389,12,12,True,0.9817
Sncg_2,cell,0.08077,0.04928,0.1012,-0.01582,0.17736,8.41,260,298,12,12,True,0.6520
Sncg_2,nucleus,0.19577,0.11439,0.0870,-0.02844,0.41998,21.63,260,298,12,12,True,0.6661
Sncg_4,cell,-0.06113,0.02623,0.0198,-0.11253,-0.00972,-5.93,1147,1093,12,12,True,0.4916
Sncg_4,nucleus,-0.08888,0.05382,0.0987,-0.19437,0.01662,-8.5,1147,1093,12,12,True,0.6661
Sncg_5,cell,-0.00855,0.0324,0.7918,-0.07206,0.05496,-0.85,477,390,12,12,True,0.9485
Sncg_5,nucleus,0.01276,0.05283,0.8092,-0.0908,0.11631,1.28,477,390,12,12,True,0.9817
