,pearson_r,spearman_rho,mean_sn,mean_mer,mean_both,var_sn,var_mer,log2fc_mer_vs_sn,abs_log2fc,det_rate_sn,det_rate_mer,det_ratio,entropy_sn,entropy_mer,max_over_mean_sn,cv_sn,cv_mer,top_ct_sn,top_ct_mer,same_top_ct,biotype,r_quintile,r_bin
CPNE9,0.9317882667528464,0.8869565217391304,0.10146937720833334,0.5603796839999999,0.33092453060416666,0.013896996735447625,0.489931397311016,2.4537840272246174,2.4537840272246174,0.3421119713332478,0.12099545632770618,0.3526413137307566,3.8148920723525492,3.6226157321124512,4.043532652788411,1.137322890429481,1.2227665544632451,L6 IT,L4 IT,False,protein_coding,Q5 (best),>0.9
CPS1,0.510585872529191,0.4478260869565217,0.054402966500000004,0.03531178793333333,0.04485737721666667,0.0014462452303749603,0.0005216444645468238,-0.6095252582560625,0.6095252582560625,0.13822713269197145,0.01114006965426578,0.08001363986222616,4.254222416018032,4.295567358496635,2.3112087095471163,0.6843159857614974,0.6331781084353542,L5/6 NP,L6 CT,False,protein_coding,Q2,0.5-0.7
CPSF2,-0.3233071569702588,-0.348695652173913,0.1406819175,0.05028525625,0.095483586875,0.0007541132011276543,0.0006016785191816827,-1.4660396053949638,1.4660396053949638,0.2732351077543908,0.01669857231819553,0.0608914462299664,4.560408082351,4.419286867360799,1.6011155093901817,0.19109014488682458,0.477529144960252,Microglia-PVM,L6 IT Car3,False,protein_coding,Q1 (worst),<0
CPSF3,0.4944514492235612,0.3356521739130434,0.10620481608333332,0.33690879166666665,0.22155680387499999,0.00030134240335491573,0.01729376450731939,1.6562641677662477,1.6562641677662477,0.24585041841774583,0.11031667320156632,0.4468968450961952,4.56500189741124,4.467825278180425,1.1835542363857634,0.1600089258530423,0.3821120411841108,Lamp5,L6 CT,False,protein_coding,Q2,0.3-0.5
CPXM1,0.701732428104151,0.3382920221005138,0.002268148642666667,0.05768977170833334,0.029978960175500002,5.82306684626806e-05,0.004879907981155553,4.1665635892596065,4.1665635892596065,0.00045155604757361387,0.01948935581336341,13.426526551242267,1.0655729094358004,3.9801563538138223,12.217470882957684,3.2935379532573505,1.1854010106088033,VLMC,OPC,False,protein_coding,Q3,0.7-0.9
CRACR2A,0.5444189131158055,0.6695652173913044,0.054699393650000004,0.09703688904166667,0.07586814134583333,0.0014990594038055184,0.00219721674055072,0.8156630822634318,0.8156630822634318,0.10908720129934621,0.025578337984638787,0.23234615543624226,4.267350525386219,4.424602946320192,2.806000574377482,0.6929233663115832,0.47288755190137466,Sst Chodl,L6b,False,protein_coding,Q2,0.5-0.7
CRB2,0.4710448664773139,0.553163744322585,0.031484740893333335,0.2146393525,0.12306204669666666,0.005126674244368988,0.013256170350393203,2.7307863796743104,2.7307863796743104,0.05476937867345292,0.08363124754941985,1.4995908066164203,2.752363914572319,4.3835058018011495,9.398681126280378,2.2262607773740655,0.525119306504041,Astrocyte,L5 IT,False,protein_coding,Q2,0.3-0.5
CRBN,0.4563779947347939,0.3399999999999999,0.44851518333333334,0.43227065583333335,0.4403929195833334,0.007570213572995631,0.046146002463166635,-0.053101316300743655,0.053101316300743655,0.6996059809327595,0.13084392370321393,0.1867582168353936,4.556424039129313,4.406630086811497,1.302537063869744,0.18990448150261424,0.4864851463026041,L5 ET,L5 IT,False,protein_coding,Q2,0.3-0.5
CREB3L1,0.869899558598263,0.9052173913043478,0.04047026917291666,0.19936547358333334,0.119917871378125,0.003177210531583445,0.06640151367259584,2.272484612233424,2.272484612233424,0.07354537045805373,0.04760476970270179,0.6386012895259369,3.5331720162109246,3.6844346535750576,5.60931159192583,1.3634687887448784,1.2653111591342376,OPC,L6b,False,protein_coding,Q4,0.7-0.9
CREB5,0.9625766287499572,0.8313043478260868,0.3350500075416667,0.15303425429166664,0.24404213091666666,0.20416308963772434,0.06013743815294045,-1.1254247216051383,1.1254247216051383,0.4135233753081545,0.14927232050187617,0.36010591776858886,3.7642961545068103,3.6059713342936126,6.347387709685473,1.3201925564807593,1.568707984871211,Oligodendrocyte,Oligodendrocyte,True,protein_coding,Q5 (best),>0.9
