supertype,median_depth_merfish,n_cells_merfish,median_depth_xenium,n_cells_xenium
Sst_23,0.18271475961269018,243,0.30909313227946933,48
Sst_25,0.31499849427345644,563,0.29690638222833443,932
VLMC_1,0.45448788517853644,2790,0.384466493723788,14009
Pericyte_1,0.4547152827416209,10487,0.48447414144843637,19732
SMC-SEAAD,0.4125700460568703,798,0.41180083712322324,42626
Pericyte_2-SEAAD,0.5336522702911883,478,0.3987870415198496,1631
Vip_1,0.2548571046514559,309,0.33541332158422343,3956
Vip_2,0.3304338316286649,351,0.45320103842177933,784
Vip_4,0.329514647268659,730,0.34756650827017244,536
Vip_5,0.2776755632603616,299,0.2846696185385239,759
Vip_6,0.26978164737128874,392,0.28297698971538093,1075
Vip_9,0.19346181392523382,1147,0.2573482582189579,455
Vip_11,0.2152201626820961,632,0.3500192013924911,49
Vip_12,0.36415014413485025,884,0.3595814481178752,380
Vip_13,0.22876652742913295,375,0.2951046549860038,529
Vip_14,0.3138310886470561,340,0.3401245790065912,1612
Vip_15,0.3275256449176629,312,0.34644131563966707,178
Vip_16,0.2175504768423322,122,0.30167631673393547,1679
Vip_18,0.4350557142553219,155,0.4953520720445996,570
Vip_19,0.547784619532303,399,0.4492344023850319,5761
Vip_21,0.16415117628853776,348,0.37717127587393695,7111
Vip_23,0.4537236510991982,606,0.5041347393203598,2839
