gene,pearson_r,spearman_rho,mean_ref,mean_spatial,var_ref,var_spatial
CYP46A1,0.8019878569707342,0.6182608695652172,0.38260477138492194,2.0469810012195357,0.03944657573879324,0.7164969269904983
DACH1,0.6985357308680369,0.7947826086956521,0.3019999603909412,0.40167332764192737,0.17759242758023083,0.2302139565237892
DBNDD2,0.7642157201495932,0.25130434782608696,0.19590154200389145,1.8898397765935229,0.08571355906725198,0.34774913666516044
DCC,0.8771179707777776,0.9191304347826086,0.9471979483895657,0.8534384926885449,0.7028539034575568,0.4152539241572784
DDIT4,0.8457612026199632,0.7147826086956521,0.08117469745409701,1.0247370029123573,0.012765179460836136,0.1489165271957862
DEAF1,0.7763597001474195,0.6373913043478261,0.3513105310927589,0.8610021444872055,0.009456762460993128,0.06298547901157635
DIRAS2,0.8824407508206675,0.9139130434782607,0.32823676664566864,2.1124183406952346,0.14872056235048334,1.7408202897249325
DISC1,0.8457572901081187,0.8478260869565216,0.38911802139491636,0.4705912914375931,0.395719797390013,0.2121638160341974
DKK3,0.7897629239143077,0.6530434782608695,0.6080810245976446,3.92896915737818,0.08045901892240093,1.097871644082689
EDIL3,0.9070348701666617,0.9182608695652172,0.83590531094664,1.7430532746829563,0.5631285242710821,0.8550894344674772
EGR1,0.7935785448707435,0.7773913043478261,0.04563177606018104,0.8359005703410555,0.0015363665922723186,0.24788338811177635
EGR3,0.8976852419131485,0.8427919312084667,0.031222233756094574,1.4676098340376453,0.0015050597641553152,0.8857355025642706
ELMSAN1,0.06476439057147758,0.16347826086956518,0.16742663520377832,0.4651324953866469,0.002263320579076074,0.006805381175160722
ELOC,0.800027116612035,0.5756521739130435,0.21471575998860493,1.787387899396486,0.0029752494671408734,0.3587401145667939
ENC1,0.915589841748756,0.8017391304347825,0.4969558071375813,3.281252130882225,0.2527969196095703,1.6352201186671664
ENPP2,0.9722132325949608,0.5104347826086956,0.14441081226465688,0.6673645106658347,0.21626221491512898,0.43268472443342126
EPAS1,0.9498529364582938,0.45217391304347826,0.16472434133813216,0.9610733853816185,0.2602228012930912,0.9241293432675511
ERBB4,0.9267984905371252,0.8704347826086956,1.7997235569450734,1.5263634222972036,2.8707607714011067,2.0526002583923355
EVI2A,0.985902840263844,0.3852173913043478,0.05085859943781168,0.26650444166825615,0.029508778212231582,0.16988801814890697
FABP3,0.8272840880055421,0.6391304347826086,0.09331664657235324,1.803247383579162,0.002183067859451245,0.5539121969139859
FGFR3,0.9670642162409555,0.4160140827094364,0.08961000122453244,1.127918538041263,0.128791082654123,0.6173845350363845
FILIP1,0.8132581707887674,0.6756521739130433,0.09583984779398251,0.5903050628675254,0.011494072975207104,0.3168486341092082
FKBP5,0.629572113127253,0.8304347826086955,0.22050824916041237,0.7348318013029426,0.09152859697286042,0.17616810867276209
FLT1,0.9797751801156335,0.42260869565217385,0.15025943570636144,0.5196266656484797,0.36809466759386006,0.6232533859942174
FREM3,0.8566276348347985,0.7026086956521739,0.044996235310949574,0.2717993236935214,0.0026853468887035933,0.040885735941019484
FSCN1,0.06897455449055227,0.2295652173913043,0.15253568909431234,1.8093824357132702,0.005762831827024941,0.2531104751534224
FSTL4,0.9749518032484799,0.9356521739130433,0.6267478519134496,0.5842399280635031,0.4479925936419978,0.3287399139498928
FURIN,0.790986812913423,0.7799999999999999,0.07216866541991825,0.33682353255094744,0.0007219377389992938,0.008220068345313384
GABBR2,0.9637433098435935,0.7669565217391304,1.2705227985670595,2.8577173060505365,0.49481726585079516,1.549362209759268
GABPB1-AS1,0.7087560095880923,0.5530434782608695,0.5364412005346256,0.5069278063125534,0.019489884626899354,0.03469328522185254
GAD1,0.9802751957585545,0.7565217391304346,0.5255725864500964,1.7302967132848064,0.38517791286502656,3.006605905922098
GAD2,0.9533170910245539,0.6660869565217391,0.45828593305755105,1.2593247598413064,0.48131714014511634,2.2596773905031964
GADD45G,0.4067431948703844,0.7434782608695651,0.03305642807233191,0.13176267140853284,0.0020089119268431187,0.0036478184646931548
GALNT16,0.9066800129112549,0.9147826086956521,0.16439291626699024,1.3416208714334321,0.013116140307125898,0.5014738799181065
GATD3A,0.2172881728222675,0.3608695652173913,0.021972813848063353,1.6555366375326592,0.00012573702916619396,0.0695138819031439
GATD3B,-0.23798395824810165,-0.1678260869565217,0.03918421396748101,1.302565717794131,0.0001286250797548495,0.10733081411369051
GFAP,0.7409283763231838,0.4057403879347262,0.03415809915921648,1.980421540442311,0.019818750634074293,0.24944303688153366
GJA1,0.9707868071128793,0.18869565217391301,0.05321237568783554,1.5438885359806844,0.04335580209850445,0.7224321806253036
GJB1,0.9845845530675854,0.15307675943518076,0.01060118217280599,0.20225142761318282,0.002037788401600019,0.13411225298480708
GNAL,0.9633131714112857,0.9086956521739129,0.45330394913556127,1.3910416396454248,0.1678091808946551,0.9212996377542689
GPR34,0.995437945471332,-0.08782608695652173,0.05964330160800649,0.10923342182771063,0.044290616353774376,0.048984452980626425
GPR6,0.18238170751175956,0.41350860663538075,0.005690331813050385,1.1044519436205447,0.00017539387662292356,0.061109173881241576
GPX3,0.45364957365954683,0.806086956521739,0.016690238960003805,0.6344298390790231,0.0008481907179956584,0.24489829944448735
GRIN2A,0.9241239590745278,0.8669565217391304,1.6484684632166975,1.0718251644005103,1.0926774837815378,0.5536348309879006
GSTM5,0.8675048778391874,0.7623396570734996,0.016863054878371333,0.4139795059859952,0.0008884678151744211,0.05109490209630075
HBA1,0.12372044709025398,0.3391304347826086,0.0074970923809208915,0.24891312058408446,8.782392862688682e-05,0.07289479874068015
HHIP,0.9699396568410511,0.4904347826086956,0.247005470767107,0.2959599353202272,0.09322803946465658,0.21590114199540775
HIF3A,0.9700700918425237,0.7530434782608695,0.20201245289663572,0.7130236328505456,0.18129170826760574,0.6087549211204383
HLA-B,0.9016037598251937,0.7904347826086956,0.16077633181466802,1.391489216373154,0.13276344052689226,0.873068271882009
HLA-DPA1,0.9429522276466914,0.7893020408376507,0.03061723118583133,0.2503381761434664,0.01183822303340512,0.028020359323751114
HLA-DRB1,0.9051404276944226,0.6234782608695651,0.056398650490132186,1.2237551304167784,0.03165639575344182,0.13726982483858463
