supertype,diagnosis,n_cells,cell_area_median,cell_area_mean,cell_area_std,nucleus_area_median,nucleus_area_mean,nucleus_area_std,nc_ratio_median
Endo_2,Control,54513,176.8,177.0,56.4,36.3,35.4,17.7,0.199
Vip_21,SCZ,1155,176.6,177.6,58.1,37.9,36.5,20.6,0.209
Sst Chodl_1,Control,239,174.0,178.9,70.5,40.5,41.4,26.9,0.221
Endo_3,Control,6042,173.8,176.4,56.5,39.9,42.2,18.2,0.232
L6b_1,SCZ,289,173.3,174.6,64.2,43.9,47.1,24.6,0.263
L6b_2,Control,439,173.2,185.6,79.0,43.8,49.4,32.0,0.255
L6 IT Car3_1,SCZ,1517,172.7,178.2,67.4,36.1,38.8,24.8,0.208
Oligo_1,SCZ,11369,172.7,169.8,46.2,39.9,39.4,11.6,0.228
L5 ET_2,Control,1529,172.4,187.0,89.8,37.7,46.2,36.9,0.222
L6b_2,SCZ,526,172.4,180.3,73.0,41.6,46.7,28.1,0.25
L2/3 IT_7,SCZ,5612,172.0,179.7,72.5,33.0,38.0,26.6,0.195
Oligo_4,Control,83415,171.0,169.6,48.5,40.5,39.0,13.6,0.228
L2/3 IT_7,Control,4998,170.8,183.6,77.3,30.6,39.2,29.7,0.189
L6b_1,Control,173,170.6,174.4,66.8,50.2,47.6,25.4,0.266
Oligo_2,Control,124,170.5,169.8,47.9,34.4,33.1,14.3,0.193
Sst_11,Control,1401,170.2,171.6,58.9,33.4,33.6,21.3,0.195
L6b_5,Control,721,170.0,180.4,75.4,39.7,44.3,30.0,0.232
L6 IT Car3_1,Control,942,169.4,181.0,73.6,33.9,39.4,28.3,0.201
Sst_11,SCZ,1873,169.2,169.7,58.9,34.1,33.5,20.8,0.193
Sst Chodl_1,SCZ,301,169.0,174.1,68.3,39.4,40.5,26.1,0.228
Oligo_4,SCZ,54300,167.8,166.5,49.3,40.2,39.0,13.7,0.232
L2/3 IT_5,Control,2352,167.7,182.2,77.8,32.2,40.8,31.1,0.2
L5/6 NP_1,SCZ,763,167.7,170.9,59.5,39.0,39.5,22.4,0.232
Sst_10,SCZ,1890,167.7,168.9,51.8,42.7,39.9,18.3,0.239
Chandelier_2,SCZ,3565,167.3,172.6,63.4,30.4,34.2,23.3,0.186
Sst_10,Control,1669,166.0,167.5,55.6,42.2,40.2,19.9,0.243
Chandelier_1,Control,2409,165.8,170.5,63.8,29.7,33.6,23.3,0.185
L5/6 NP_1,Control,730,164.8,170.5,63.2,36.6,38.5,23.9,0.226
Pvalb_1,SCZ,165,164.7,172.5,70.5,28.7,36.4,26.9,0.186
Monocyte,SCZ,385,164.1,168.4,59.4,39.2,38.3,17.8,0.223
Oligo_3,SCZ,29578,164.1,161.7,48.2,36.0,33.8,13.9,0.206
Chandelier_2,Control,3630,163.7,173.6,66.3,27.5,34.1,24.8,0.173
Monocyte,Control,243,163.5,162.4,61.2,38.3,38.4,19.4,0.234
Astro_5,Control,22350,163.1,169.9,65.7,28.5,32.7,22.5,0.181
OPC_2,Control,111,163.0,159.8,51.5,32.2,29.2,16.1,0.184
L6b_3,Control,413,162.5,168.3,63.3,39.0,40.4,23.9,0.234
Oligo_2_1-SEAAD,SCZ,69741,162.5,160.2,47.5,34.0,31.6,14.2,0.195
Oligo_2,SCZ,321,161.8,155.0,41.8,31.3,29.2,10.8,0.186
L2/3 IT_13,Control,406,161.0,180.3,84.9,27.9,40.2,35.6,0.184
OPC_2_2-SEAAD,SCZ,4151,160.5,163.9,57.1,31.5,32.4,20.1,0.192
L6b_3,SCZ,388,159.6,161.7,52.2,38.5,38.5,19.3,0.237
L2/3 IT_13,SCZ,423,159.5,175.0,76.1,28.6,37.8,31.0,0.184
L4 IT_3,SCZ,3280,159.5,166.1,59.1,33.7,35.0,21.6,0.203
Chandelier_1,SCZ,1931,159.0,166.3,61.5,30.3,32.9,22.3,0.191
Pericyte_1,SCZ,7434,158.9,158.5,44.7,35.3,35.0,9.8,0.22
Oligo_3,Control,20966,158.3,157.2,48.8,31.2,29.9,14.7,0.188
Lamp5_Lhx6_1,Control,799,157.7,158.1,53.3,28.5,29.0,16.8,0.184
