sample_id,diagnosis,celltype,count,n_cortical,cortical_area_mm2,proportion_pct,density_per_mm2
Br6032,SCZ,L2/3 IT_7,776,43133,47.30662043089855,1.7990865462638814,16.403623698579658
Br6032,SCZ,L6b_1,831,43133,47.30662043089855,1.926599123640832,17.566251666906822
Br6032,SCZ,L6b_2,936,43133,47.30662043089855,2.170032225905919,19.78581415189505
Br6032,SCZ,L6b_4,50,43133,47.30662043089855,0.11592052488813669,1.0569345166610604
Br6032,SCZ,L6 CT_1,0,43133,47.30662043089855,0.0,0.0
Br6032,SCZ,L6 CT_3,224,43133,47.30662043089855,0.5193239514988524,4.735066634641551
Br6389,Control,Sst_2,6,35135,55.71828738777364,0.01707698875764907,0.10768457325765884
Br6389,Control,Sst_22,15,35135,55.71828738777364,0.042692471894122674,0.26921143314414714
Br6389,Control,Sst_25,65,35135,55.71828738777364,0.18500071154119824,1.166582876957971
Br6389,Control,Sst_20,107,35135,55.71828738777364,0.30453963284474167,1.9203748897615829
Br6389,Control,Sst_3,157,35135,55.71828738777364,0.4468478724918173,2.8177463335754065
Br6389,Control,Pvalb_14,0,35135,55.71828738777364,0.0,0.0
Br6389,Control,Pvalb_7,0,35135,55.71828738777364,0.0,0.0
Br6389,Control,L5/6 NP_4,161,35135,55.71828738777364,0.4582325316635833,2.8895360490805126
Br6389,Control,L2/3 IT_7,1070,35135,55.71828738777364,3.045396328447417,19.203748897615828
Br6389,Control,L6b_1,539,35135,55.71828738777364,1.5340828233954746,9.67366416431302
Br6389,Control,L6b_2,509,35135,55.71828738777364,1.4486978796072292,9.135241298024726
Br6389,Control,L6b_4,54,35135,55.71828738777364,0.15369289881884163,0.9691611593189297
Br6389,Control,L6 CT_1,0,35135,55.71828738777364,0.0,0.0
Br6389,Control,L6 CT_3,47,35135,55.71828738777364,0.13376974526825103,0.8435291571849943
Br6432,Control,Sst_2,3,32160,42.26684892140394,0.009328358208955225,0.07097761192414795
Br6432,Control,Sst_22,11,32160,42.26684892140394,0.03420398009950249,0.2602512437218758
Br6432,Control,Sst_25,22,32160,42.26684892140394,0.06840796019900498,0.5205024874437516
Br6432,Control,Sst_20,118,32160,42.26684892140394,0.3669154228855721,2.791786069016486
Br6432,Control,Sst_3,72,32160,42.26684892140394,0.22388059701492538,1.7034626861795505
Br6432,Control,Pvalb_14,0,32160,42.26684892140394,0.0,0.0
Br6432,Control,Pvalb_7,0,32160,42.26684892140394,0.0,0.0
Br6432,Control,L5/6 NP_4,156,32160,42.26684892140394,0.4850746268656716,3.690835820055693
Br6432,Control,L2/3 IT_7,600,32160,42.26684892140394,1.8656716417910446,14.195522384829589
Br6432,Control,L6b_1,601,32160,42.26684892140394,1.8687810945273633,14.219181588804304
Br6432,Control,L6b_2,388,32160,42.26684892140394,1.2064676616915424,9.1797711421898
Br6432,Control,L6b_4,37,32160,42.26684892140394,0.1150497512437811,0.8753905470644913
Br6432,Control,L6 CT_1,0,32160,42.26684892140394,0.0,0.0
Br6432,Control,L6 CT_3,89,32160,42.26684892140394,0.2767412935323383,2.1056691537497225
Br6437,SCZ,Sst_2,4,41730,61.089769689984855,0.00958543014617781,0.06547741168937106
Br6437,SCZ,Sst_22,3,41730,61.089769689984855,0.007189072609633357,0.04910805876702829
Br6437,SCZ,Sst_25,46,41730,61.089769689984855,0.11023244668104482,0.7529902344277671
