supertype,region,n_samples,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,logFC,coef,se,tstat,pval,class,fdr
Sncg_3,L1-L6,23,12,11,0.08088538550414605,0.10771331984768363,0.2864400931337232,0.02510428700622988,0.02117509192689333,1.1855574036184606,0.25121277875291753,GABA,0.5418934169562568
Vip_11,L1-L6,24,12,12,0.82519277939876,0.6857542486207868,-0.1850977056549812,-0.08359813057020014,0.07086676682059356,-1.1796521038110477,0.25269886874333236,GABA,0.5418934169562568
Vip_16,L1-L6,24,12,12,0.5462002692029323,0.6736622537161697,0.20974317616546206,0.07324040302935665,0.06272111407445655,1.1677152759501785,0.25736694912933933,GABA,0.5418934169562568
OPC_2_1-SEAAD,L1-L6,24,12,12,18.812702444975248,17.708182484876264,-0.06050548360680725,-0.14603581905862706,0.12621275443865687,-1.1570607083898543,0.26158792034601075,NN,0.5418934169562568
Lamp5_2,L1-L6,24,12,12,3.3789182401187507,2.798155338874705,-0.18859521843935573,-0.15392907215435567,0.13360572557235467,-1.152114338625367,0.2635649856345534,GABA,0.5418934169562568
L5 IT_2,L1-L6,24,12,12,4.892469987691034,6.187596468325677,0.23484943269483238,0.15012015993161948,0.13065843267195867,1.148951176450455,0.2648351285876443,Glut,0.5418934169562568
Pvalb_7,L1-L6,22,12,10,0.048576951575531914,0.07309056565934505,0.40855012668046825,0.018530671866111636,0.01720585215901076,1.0769982035680263,0.29652779467028273,GABA,0.5963218734343244
L6b_6,L1-L6,23,12,11,3.138208432484021,4.308387814621738,0.3169117030225698,0.27525908455888554,0.2581554482668684,1.066253245503214,0.3004027482714266,Glut,0.5963218734343244
L5/6 NP_6,L1-L6,24,12,12,0.7065781092177583,0.883291978952911,0.22322205893610117,0.08343475413574694,0.08238214358083373,1.012777168803339,0.3238910752096273,Glut,0.6258033844889201
Vip_1,L1-L6,24,12,12,2.0163673766896673,2.4621855365197605,0.19975182089598256,0.12214781629107241,0.12080494320423069,1.0111160441884526,0.3246649137574097,GABA,0.6258033844889201
Sncg_2,L1-L6,24,12,12,0.3475105632978703,0.43452869791009746,0.22346692812654997,0.0571133305862156,0.05952886298084107,0.9594225007219961,0.3493969003946599,GABA,0.6638541107498539
Sst_20,L1-L6,24,12,12,2.368503608167902,2.752452802023207,0.15023407537709593,0.1018792826493711,0.11311052630566468,0.9007055839706485,0.3790203085368188,GABA,0.7099957892309422
L2/3 IT_7,L1-L6,24,12,12,7.389991444683261,8.884158675733804,0.18414318944508204,0.14760956596855207,0.16711673218568404,0.8832722136078063,0.38812884540001885,Glut,0.7116309078501246
Sncg_1,L1-L6,24,12,12,0.3313635369059992,0.4194209709503962,0.23565904798599493,0.06256931875352642,0.072258029932804,0.8659150936126054,0.3973395285484373,GABA,0.7116309078501246
L5/6 NP_1,L1-L6,24,12,12,1.0052908061466275,1.1401220758864632,0.12585848177966796,0.07794993263287947,0.09042304627406354,0.8620582456005821,0.399405391126225,Glut,0.7116309078501246
