celltype,beta_snrnaseq,se_snrnaseq,pval_snrnaseq,padj_snrnaseq,region,n_samples,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,logFC_density,coef,se_density,tstat,pval_density,class,fdr_density
L4 IT_4,0.02729310786111,0.0579298689356221,0.637540399629103,0.833954729695128,cortical,24,12,12,2.107540781529396,1.5545419004771337,-0.3043408569081813,-0.1935966499566492,0.0997459602360435,-1.9408971501052583,0.0672540257234806,Glut,0.2795245444132164
L2/3 IT_3,-0.0936134743193302,0.0729423924817765,0.19935577689225,0.519939354955901,cortical,24,12,12,0.1586877097678367,0.1430804634316273,-0.1035310280024815,-0.0100750471350093,0.0431658248790388,-0.2334033268967303,0.8179444274526936,Glut,0.9378155935448989
Vip_9,-0.0014910282198698,0.0587168882869469,0.979741083227422,0.995669874819086,cortical,24,12,12,0.6226674832689881,0.5369527147439942,-0.1481026054282657,-0.0281905387153288,0.0719429437837033,-0.3918457771214334,0.6995325034444762,GABA,0.8868526427419732
L4 IT_1,0.049193184015191,0.0568427888277968,0.386805434047021,0.680028908243956,cortical,24,12,12,8.329983746180579,11.209648434790536,0.2969133699049738,0.3194982144464035,0.1528755254889469,2.089923900013044,0.0503074459312843,Glut,0.2676356123544328
Sst_2,-0.254509920135936,0.0591534995883802,1.68856046339816e-05,0.0009202654525519,cortical,24,12,12,1.1890611279687342,0.8766708391812218,-0.3047877105982677,-0.1339652528908125,0.0905068334146054,-1.4801672739684428,0.1552201932148214,GABA,0.3970054941840625
Lamp5_4,0.0751792802930142,0.0664533239767492,0.257924824611278,0.569755257858317,cortical,24,12,12,1.2918074061372935,1.2831584395547326,-0.0067177583136382,-0.0312823862904717,0.0982705781873599,-0.3183291160740871,0.7537078069314035,GABA,0.9022233661153848
L2/3 IT_12,-0.0588886771125258,0.0824681365615157,0.475178985744995,0.725161804665052,cortical,24,12,12,14.429939150979386,13.937070676539038,-0.0347529106666622,-0.0035074028193664,0.1509410225181991,-0.0232369090976809,0.9817036057142114,Glut,0.9976382815975842
Sst_5,0.0309783749550944,0.0667703598466859,0.642680709122851,0.833954729695128,cortical,24,12,12,0.8872821887187734,1.4727644046863626,0.5067333910959786,0.2424902784603494,0.1085667914539208,2.233558487019209,0.0377320866997601,GABA,0.2351017476120777
Pvalb_10,0.0431573824938302,0.0667359333543216,0.517833355398753,0.762754537006271,cortical,24,12,12,1.371826943948286,1.0199729180182735,-0.2963673112184132,-0.177154075112707,0.0967935367104485,-1.8302262850736797,0.0829499842394249,GABA,0.3152099401098149
L2/3 IT_6,-0.0885649875776229,0.0760824244129518,0.244397137513991,0.566793361468618,cortical,24,12,12,12.910778955575658,12.385139705378233,-0.0415651973324381,-0.1044871339931168,0.1547683332982838,-0.6751195917561481,0.507733170373024,Glut,0.7503167962179133
L5 ET_1,0.16890379147394,0.0902567516473144,0.0612937924285458,0.351632809195342,cortical,24,12,12,4.669357320305652,4.252521347650814,-0.0935093781332536,-0.1059714503000985,0.1497699136707002,-0.7075616704507047,0.4878066672906527,Glut,0.7457274339041012
Pvalb_13,0.0740884300815594,0.0621626044250759,0.233320508048255,0.552868160375212,cortical,24,12,12,0.7259193324625878,0.3732368183751776,-0.6652257763518228,-0.2084935805914083,0.0747076999549638,-2.7907910525567625,0.011655048578672,GABA,0.151518329189454
L5 IT_5,-0.045306458296817,0.064001009081603,0.47900596271453,0.725161804665052,cortical,24,12,12,8.809658607268938,9.829902099899256,0.1095802861874917,0.1212798033629952,0.0694909621072995,1.745260098366887,0.0970920640364537,Glut,0.3398222241275883
Pvalb_15,-0.062759661928616,0.041993052328719,0.135038481239471,0.499604933085498,cortical,24,12,12,5.361839200143525,4.319174310175435,-0.2162427984965621,-0.1803218229939576,0.1239365171639988,-1.4549531253597108,0.1620052255419312,GABA,0.406541415039186
L2/3 IT_8,-0.0750586405572907,0.0818561853224475,0.359164927149959,0.652482950989092,cortical,24,12,12,8.110844911734103,5.103587026871847,-0.4632584130664142,-0.4590025622979917,0.1274151338031314,-3.6024179278985384,0.0018979765984186,Glut,0.084143629196562
Sst_25,-0.258992646343256,0.0826138738897393,0.0017186721854707,0.0374670536432624,cortical,24,12,12,1.5254656945592144,0.6175244823260163,-0.904336300698257,-0.3460562909420531,0.1361602481309945,-2.5415368706520396,0.0199131630960425,GABA,0.1627998615818441
L2/3 IT_10,-0.169067110295597,0.0842876847815801,0.0448739537362267,0.305703809828044,cortical,24,12,12,6.197747118097098,4.621186737678155,-0.2935343162324247,-0.2801070505367413,0.1389840277490019,-2.015390221980042,0.0582322450082064,Glut,0.269845700267744
Sst_22,-0.27142856495951,0.0808981876307707,0.0007931128967773,0.0216123264371826,cortical,24,12,12,1.816195422518576,1.797845365956188,-0.0101549569189179,-0.0272263627258132,0.1039721191804124,-0.261862150549899,0.7962455742185963,GABA,0.9208753162702028
