compartment,stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,ctrl_mean,scz_mean,scz_pval_fdr,scz_pval_fdr_stratum
Non-neuronal,L2/3,L2/3 IT,0.0015172412981586383,0.0008199572995309448,0.07908687367599702,-0.0016990401560613,0.05202420790383222,-5.645841480962849e-07,0.9906486297645845,0.26576636039177504,24,0.0027957122453121327,0.004169902708908268,0.5272458245066468,0.35589093154198664
Neuronal,L5,Lamp5,-0.0016244170956652734,0.0008917482336204483,0.08350639728259333,0.0002494668410787408,0.7831626653259403,6.466252731705704e-05,0.22579553721543705,0.1813067075114989,24,0.0099712149824833,0.008535278277750158,0.30055796610736585,0.2343522482451316
Neuronal,L5,VLMC,0.022495602668638544,0.012536608072423374,0.08788209309192435,-0.009968258408147957,0.43719899249777117,0.00013470876173908222,0.8549342142751494,0.15970933591534286,24,0.07799764280729665,0.10001190199736625,0.30055796610736585,0.2343522482451316
Neuronal,L6,Endothelial,-0.011012289507640249,0.00620135074569096,0.09098645976218704,0.0033242596682119055,0.5989005043817186,-0.0004215140212860979,0.2551463841375789,0.20800440951619925,24,0.12068510666339811,0.10885671243290694,0.30055796610736585,0.2795548203724671
Neuronal,L6,Pax6,0.003639677750000074,0.0020675827057877617,0.09363352747491459,-0.0023580342547728774,0.2689237266907684,-4.440306555396854e-05,0.7151571289840187,0.17469140368681035,24,0.012958728182562175,0.016286751127994548,0.30055796610736585,0.2795548203724671
Neuronal,L4,Sst Chodl,-0.0009162394466174374,0.0005226610168808423,0.09491304192864183,-0.0006035800462586003,0.2631336705385437,-1.4182565940622064e-05,0.645053542921373,0.21586883709668292,24,0.0046328608971460085,0.0036295429923343422,0.30055796610736585,0.2531014451430449
Neuronal,L6,L5/6 NP,-0.003910106651519356,0.0023014924823177517,0.10483305763967515,4.242565875915965e-05,0.9855179181163294,1.9547123485804692e-05,0.8850798776535896,0.12684362128106919,24,0.025863106510026584,0.02200722753697702,0.32126259599255286,0.2795548203724671
Neuronal,L5,Microglia-PVM,-0.008106661226610062,0.004948603557645446,0.11702337568492488,0.002990034339132343,0.5536477611720593,-0.0006261741271841868,0.04129767078991707,0.30125307132963075,24,0.035343244246933046,0.02586187431208636,0.34741314656462075,0.2808561016438197
Neuronal,L6,L2/3 IT,0.003972857419089156,0.0024510334930899626,0.1207012996099157,-0.0012940460252013671,0.6043925619768274,-0.00024216780807445414,0.10406889100427995,0.20868820538111144,24,0.014398112826933972,0.0176351112283166,0.34747343827096944,0.2896831190637977
Non-neuronal,L2/3,L6b,0.0006196252188987668,0.00038740939647110434,0.12540905471000832,0.00014373330457868855,0.7153281702650878,-2.910286584771172e-05,0.21014071170971016,0.16076829346177524,24,0.0004677541433946417,0.0010238837055765667,0.7293766190660526,0.44691431519831415
