compartment,stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,ctrl_mean,scz_mean,scz_pval_fdr,scz_pval_fdr_stratum
Neuronal,L4,Lamp5_3,-0.0006927353106990637,0.0003509789199212319,0.06238926569174386,0.0005290935770542497,0.1484510355709352,-1.5219460073499223e-05,0.46351965766413383,0.24551175807764758,24,0.0027971900886250415,0.002109076776223225,0.40040975019554276,0.3816378410243738
Neuronal,L2/3,Astro_2,-0.01198037054789744,0.006075289192926131,0.06260117732489862,-0.004352335883523747,0.483297126121642,7.901889724338718e-05,0.8248907195826586,0.18785383510169162,24,0.042588258984332605,0.030450116119659382,0.40040975019554276,0.3747927117099693
Neuronal,L4,L6b_5,4.6599285876990285e-05,2.3790510629984183e-05,0.06423607225162728,-4.721889070927948e-05,0.061755841231705876,7.9583239246775e-07,0.5706622228509302,0.2764995958814095,24,0.0,4.4728236989016664e-05,0.40040975019554276,0.3816378410243738
Non-neuronal,L5,Pax6_1,0.00045580546122923985,0.00023308889377937205,0.06464079222380759,-0.00014155726226198952,0.5516381744786979,6.429021906366524e-07,0.9625544595127995,0.1708891935611767,24,0.00015999096645705001,0.0006056672488455083,0.3563530853363751,0.30704376306308606
Neuronal,L2/3,Sst_2,-0.00028073572356569716,0.0001440350627152606,0.06545122774273911,-9.816834137394792e-05,0.5045735816216435,-6.876994919045187e-06,0.42024955481671444,0.22994215649045224,24,0.0007532601468148168,0.00044650938797789996,0.40040975019554276,0.3747927117099693
Neuronal,L2/3,Micro-PVM_1,-0.0010048339596732498,0.0005181952745329842,0.06672816427778598,0.0005735244233040031,0.28290015475312397,-2.545657597681604e-05,0.4071674323554101,0.2222741548567334,24,0.0027807525662170503,0.001757694921452592,0.40040975019554276,0.3747927117099693
Neuronal,L5,Lamp5_Lhx6_1,-0.0005625496885985524,0.0002903399459026802,0.06692822631234782,0.00026665046337907654,0.3707269594580951,1.6882771652212233e-05,0.3282001684227812,0.2042609045783914,24,0.0025930214340777586,0.0020964752719122,0.40040975019554276,0.4496228555704013
Neuronal,L5,L2/3 IT_3,-0.002062608663837099,0.0010658358426968917,0.06723332419744318,0.0006610568759873614,0.5432881403515728,-4.1070893274357245e-05,0.5141669485865878,0.19243233143502392,24,0.009262643540076183,0.007148612432679866,0.40040975019554276,0.4496228555704013
Neuronal,L6,Oligo_4,-0.0024990147098376465,0.0012921783976720615,0.06739570052796265,-0.0008377447014187528,0.5253580902554135,1.514348161010912e-05,0.8419620024795518,0.17920348674044817,24,0.008885290977623443,0.00635573630497645,0.40040975019554276,0.35840611731911476
Neuronal,L6,L5 ET_1,0.00011948312898770797,6.21552194534279e-05,0.068924253330599,-0.0001021149325307868,0.11704216152948717,-1.322449145604389e-06,0.7176780495020221,0.2340159533064281,24,7.22818126949e-05,0.00017982581252077502,0.4010566973248853,0.35840611731911476
Non-neuronal,L6,Oligo_2,0.02163275802530438,0.011255366380600675,0.0689693810038752,-0.008331382104575184,0.469060766435327,-0.0003782684547308421,0.568879883271058,0.17502619640468442,24,0.0066713462767489,0.026628846267403358,0.361809110458177,0.4222109883138842
Non-neuronal,L6,VLMC_2,0.004142526752821778,0.0021555523504911724,0.06899615594783841,0.001375865262676277,0.5317218897970413,-2.911788341298041e-05,0.8182607712636059,0.17667428841235266,24,0.022924948187331734,0.027106618001058878,0.361809110458177,0.4222109883138842
