stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,scz_pval_fdr_global,scz_pval_fdr_stratum
L2/3,L6b_5,-1.1720023856783387e-05,1.2298370254328417e-05,0.3519798606937454,-9.404193786981282e-06,0.4547040977587392,-1.1407431590542911e-06,0.12555977745791427,0.2049223243609799,24,0.6075233479990783,0.6118017658000952
L2/3,Sncg_5,-0.0002830010037891709,0.0002981296396280341,0.3538214762610443,-1.7701571574382183e-05,0.9533793827049943,-5.542492043912964e-06,0.751965250680511,0.05416249245306137,24,0.6075233479990783,0.6118017658000952
L2/3,L5/6 NP_2,-6.9383834138985954e-06,7.333725588808865e-06,0.3553925882789857,-6.333548476312449e-06,0.39939676587691353,1.6453794256786816e-07,0.7030606201195593,0.08096827852631927,24,0.6075233479990783,0.6118017658000952
L5,L5 ET_1,3.0243062691486827e-05,3.2149679254728703e-05,0.3580849027330395,3.9756722236686584e-06,0.9031013688413732,-4.5316340254967594e-06,0.024666129133189038,0.23946529111344061,24,0.6075233479990783,0.6710600594655235
L5,Vip_23,-1.1091505708638891e-05,1.1799350641433076e-05,0.3584279996393469,-1.0120679820840177e-05,0.40256110964121705,2.379351593382666e-07,0.7317983326873607,0.07965568336904183,24,0.6075233479990783,0.6710600594655235
L2/3,Oligo_3,1.7570154965117096e-05,1.8718221074667852e-05,0.35910103644788194,-9.622824478601003e-06,0.613859568960923,-3.1821069195196954e-07,0.7725317040202444,0.053991891208765574,24,0.6075233479990783,0.6118017658000952
L5,Sst_3,-0.00035439784075923133,0.00037858632437223815,0.36038410600926263,-0.00040212848911026566,0.3021925636583828,-3.3109320753104396e-06,0.8816930361373795,0.10458611094308934,24,0.6075233479990783,0.6710600594655235
L6,L2/3 IT_8,-0.0010829827000879803,0.0011572307227751156,0.3605189878556184,0.001476315693341913,0.21796892898357967,-9.984821106232201e-05,0.15257128794299535,0.18430593805534623,24,0.6075233479990783,0.5614373300451465
L6,L5 IT_6,-0.0022374801395312095,0.0024036502681029142,0.36302308350732027,-0.0011693960510868427,0.6328896374855704,9.04144321797757e-05,0.5241411160403404,0.06390712402931775,24,0.6075233479990783,0.5614373300451465
L6,Lamp5_1,9.980418840111229e-06,1.0776142052953359e-05,0.3654052410948001,1.0994795183695676e-05,0.3211613114202613,-1.8959795114814964e-07,0.7648289502204848,0.0917451575299687,24,0.6075233479990783,0.5614373300451465
