stratum,celltype,merfish_mean,merfish_std,merfish_n_donors,xenium_mean,xenium_std,xenium_n_donors,diff,abs_diff,log2_ratio,abs_log2_ratio
L4,Sncg,0.00292249853374646,0.0025553706450903114,27,0.0012904890018528797,0.0008121144299759472,12,-0.0016320095318935804,0.0016320095318935804,-1.1730761883457765,1.1730761883457765
L4,Sst,0.020246452371093168,0.009310606156154234,27,0.017491751684777398,0.004246910060823691,12,-0.0027547006863157704,0.0027547006863157704,-0.2108822055617324,0.2108822055617324
L4,Sst Chodl,0.0031335460474741423,0.004491903120626351,27,0.001685029783608505,0.000656044014285133,12,-0.0014485162638656374,0.0014485162638656374,-0.8910822728572849,0.8910822728572849
L4,VLMC,0.05859204791113349,0.012636473025748851,27,0.2027560587992493,0.06657724363201711,12,0.1441640108881158,0.1441640108881158,1.7907931913153268,1.7907931913153268
L4,Vip,0.03430347334633039,0.013976306614032477,27,0.03886321917166146,0.008443583532277756,12,0.004559745825331071,0.004559745825331071,0.18000141656302485,0.18000141656302485
L5,Astrocyte,0.11124956867735233,0.024868105645363733,27,0.11100924767888869,0.034516267748487824,12,-0.0002403209984636473,0.0002403209984636473,-0.00311959595144013,0.00311959595144013
L5,Chandelier,0.0036500930421964678,0.0015743105769068465,27,0.006120225435212674,0.0010323510723520997,12,0.0024701323930162063,0.0024701323930162063,0.7440598057803101,0.7440598057803101
L5,Endothelial,0.052257126243851766,0.010603311862974439,27,0.16573375318118855,0.012559052892763097,12,0.11347662693733679,0.11347662693733679,1.664978752543034,1.664978752543034
L5,L2/3 IT,0.043853719529908644,0.043794619131541146,27,0.06315582363086854,0.012094918270892957,12,0.019302104100959894,0.019302104100959894,0.5261160339136562,0.5261160339136562
L5,L4 IT,0.19084445457624674,0.06942444099725113,27,0.11074105393044321,0.03034149868894878,12,-0.08010340064580353,0.08010340064580353,-0.7851524318636116,0.7851524318636116
L5,L5 ET,0.010154571782310355,0.007676916082544066,27,0.009794927455787862,0.002618128839478904,12,-0.0003596443265224923,0.0003596443265224923,-0.051970576523060086,0.051970576523060086
L5,L5 IT,0.14872549575731817,0.05679858669158841,27,0.05137149010755384,0.009695501120407898,12,-0.09735400564976432,0.09735400564976432,-1.5334283525958623,1.5334283525958623
