layer,subclass,outcome,n_samples,n_scz,n_ctrl,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,converged,fdr
L4,Lamp5,proportion,24,12,12,0.01513738231920117,0.014285256322150284,-0.08358882122113327,-0.08423508181653594,0.14034903220321288,-0.6001828476777172,0.5554760188173868,True,0.8157340136479108
L4,Microglia-PVM,proportion,24,12,12,0.06349144108950248,0.05818148670850828,-0.1260019616756615,-0.023161626180189965,0.20563291116852153,-0.1126357937966866,0.9115008432131319,True,0.9616431331676996
L4,OPC,proportion,24,12,12,0.036000245800911844,0.037632775716679036,0.06398294661106825,0.03909036831178059,0.09225448730100896,0.42372321884176867,0.676525921944036,True,0.8715978135475311
L4,Oligodendrocyte,proportion,24,12,12,0.18550339615500433,0.14738587084942992,-0.33184737256649116,-0.37284198136131,0.1437001898560087,-2.594582385276647,0.017789629262040554,True,0.1966222181593956
L4,Pax6,proportion,22,12,10,0.00157711233741051,0.00107811390812405,-0.5487758125939485,-0.3442162999778475,0.29148179547496994,-1.1809186896799047,0.2538939214464988,True,0.6489309511139887
L4,Pvalb,proportion,24,12,12,0.041892230534500356,0.035450257911989115,-0.24088657837887217,-0.12970993060719332,0.07469127823838105,-1.7366141491543017,0.09864182441598095,True,0.43155798181991667
L4,Sncg,proportion,23,12,11,0.0015321179092749,0.0019411219145731749,0.3413634021780215,0.13204806334216612,0.26255141892497524,0.502941724264302,0.6211035057215654,True,0.8504309782763663
L4,Sst,proportion,24,12,12,0.04364641912153102,0.0448546949765789,0.03939570524908859,0.054603828841672475,0.07106322017315951,0.7683838237082349,0.45170469947605696,True,0.7420942255573442
L4,Sst Chodl,proportion,13,5,8,0.000738818605073675,0.0007449338235255199,0.011892071909616582,-0.14203187493424074,0.3566555815703023,-0.39823258704909426,0.7008753668149822,True,0.886649560428592
L4,VLMC,proportion,24,12,12,0.008101911791123809,0.015390436945508726,0.9256999083884487,0.7625040773638689,0.30480724629010825,2.5015943244280217,0.021667458407682444,True,0.2006762181910625
L4,Vip,proportion,24,12,12,0.027271076826609852,0.024156263837989116,-0.17497433219035805,-0.18996193721433863,0.08145852366452826,-2.332008102634679,0.030855482493366157,True,0.21744956096251886
L5,Astrocyte,proportion,24,12,12,0.14590744413542756,0.1523801263916091,0.06262126617433453,0.030072736538597572,0.06911784525996452,0.43509366395159826,0.668396502506571,True,0.8695273105435694
L5,Chandelier,proportion,24,12,12,0.012950753887182169,0.012466049435543325,-0.05503174324093533,-0.03171828446860325,0.09667184418133619,-0.3281026108191996,0.7464222460013475,True,0.9030234455446736
L5,Endothelial,proportion,24,12,12,0.011182416731272364,0.0515020322577903,2.203397346317186,1.13192403504279,0.40339126508103823,2.8060201918735026,0.011274792607061438,True,0.16218209906763406
L5,L2/3 IT,proportion,24,12,12,0.00439038254005365,0.005087354929506026,0.21256910098548884,0.06437798279294382,0.2071096926736882,0.31084002859477267,0.7593065983028056,True,0.9030234455446736
L5,L4 IT,proportion,24,12,12,0.1029378160722173,0.09894909729865993,-0.05701462887373434,-0.04660674793437586,0.06244876067700322,-0.7463198217084684,0.46460923393168513,True,0.750522608658876
L5,L5 ET,proportion,24,12,12,0.025695364211907434,0.02132019016155767,-0.26928779536355535,-0.22557754448380973,0.11821107426092867,-1.9082606760335314,0.07158401624021618,True,0.3579200812010809
L5,L5 IT,proportion,24,12,12,0.17795424513120195,0.17327505206406224,-0.038442397079606574,-0.03382434054416092,0.07587737909753786,-0.4457763426525427,0.6607968849704281,True,0.8695273105435694
L5,L5/6 NP,proportion,24,12,12,0.0259170004528506,0.031223734347283916,0.26874433826323835,0.23461892286746433,0.10143732160959477,2.3129447736253335,0.032089075946529086,True,0.21744956096251886
L5,L6 CT,proportion,24,12,12,0.006072359081919775,0.009154602814648133,0.5922401886459091,0.5102603398828179,0.22409642899090024,2.276967741880161,0.03454227646475621,True,0.2266836892999626
L5,L6 IT,proportion,24,12,12,0.0101516988657108,0.011841729191514161,0.2221585866282843,0.09211788404277588,0.18468085844328355,0.4987949743100515,0.6236493840693352,True,0.8504309782763663
L5,L6 IT Car3,proportion,24,12,12,0.004572118002243134,0.005827441425360507,0.3499999594590101,0.29523486403162,0.2814160569318039,1.0491045438219784,0.30729221133742457,True,0.693885638503862
L5,L6b,proportion,23,11,12,0.000739881070027675,0.0016464818306394819,1.1540212987155922,0.8264562822031323,0.23164563848368575,3.5677610319494,0.002199366844160431,True,0.12272731049617132
L5,Lamp5,proportion,24,12,12,0.011136635491030734,0.009483933486575053,-0.23175599335845795,-0.24209912765848074,0.13669868528441992,-1.7710421073528329,0.09259497801789587,True,0.4146307325664009
L5,Microglia-PVM,proportion,24,12,12,0.06136083985324755,0.05635701661683587,-0.12272298789763493,0.02594751851904359,0.20241986767966372,0.1281866193100492,0.899348378047109,True,0.9616431331676996
L5,OPC,proportion,24,12,12,0.03407425423054111,0.03533735115368753,0.05251181952615035,0.04182756636232332,0.0870057331663795,0.4807449445008092,0.6361870126902658,True,0.850950781305451
L5,Oligodendrocyte,proportion,24,12,12,0.24320731550283473,0.1955629849166309,-0.31455329390616077,-0.3627252132048277,0.138760621421765,-2.614035664356957,0.017065952157391737,True,0.1966222181593956
L5,Pax6,proportion,24,12,12,0.0007740487763201917,0.0007236131239702249,-0.0972059060291077,-0.2275931065468475,0.28701290253045325,-0.7929716906113617,0.43758498948072333,True,0.7410713531528379
L5,Pvalb,proportion,24,12,12,0.04475774980454423,0.036895235771844274,-0.2787029714584003,-0.19192461018716545,0.07692910273672394,-2.4948244989154884,0.02197882389711637,True,0.2006762181910625
L5,Sncg,proportion,23,12,11,0.0008068984171291545,0.0016051016184151585,0.9922056719256053,0.9172902903960389,0.3211594262404586,2.856183613023536,0.010491198572958393,True,0.16218209906763406
