pool,subclass,depth_bin,n_ctrl,n_scz,ctrl_mean_density,scz_mean_density,log2fc,coef,se,pval,fdr
Neuronal,L5/6 NP,0.20833333333333331,12,12,0.007537523104901554,0.012353514276530815,0.7127590876513042,0.004410444138268206,0.008950061107830594,0.6278120331841848,0.9504625534981306
Neuronal,L5/6 NP,0.29166666666666663,12,12,0.007489106744705969,0.02303577927600337,1.6210108454808765,0.017193385844778253,0.01245026063890766,0.1833179290585319,0.632446855251935
Neuronal,L5/6 NP,0.375,12,12,0.023864058182976794,0.036486473156281715,0.6125223041125832,0.015370048228499661,0.013245582918120882,0.26026326245840464,0.7088749385380231
Neuronal,L5/6 NP,0.4583333333333333,12,12,0.0462045968713009,0.09844857343736628,1.0913339092391248,0.048824690389675775,0.015070956993203481,0.004312816838819138,0.10044483625021491
Neuronal,L5/6 NP,0.5416666666666666,12,12,0.7944975984433927,1.3824888825547514,0.7991531150999742,0.2717897467767641,0.11454373822516586,0.028361927310080633,0.32338141408849497
Neuronal,L5/6 NP,0.625,12,12,3.706187952453778,4.834672161686847,0.38348201728283343,0.2226343963769617,0.14580812982960706,0.14326174006852194,0.5702919268112315
Neuronal,L5/6 NP,0.7083333333333333,12,12,1.378276787410089,2.0187004646091853,0.5505612179107767,0.20784861433599283,0.13953812846868005,0.15275631665583708,0.5783812447361869
Neuronal,L5/6 NP,0.7916666666666666,12,12,1.0830233094651092,1.352076496359235,0.3201124833967425,0.0901767259449293,0.12758544044548636,0.48827237916615884,0.8353976595966381
Neuronal,L5/6 NP,0.875,12,12,1.1311239383538465,0.8583411687887649,-0.39813391406782533,-0.11622024523564964,0.12916468761592467,0.37949852885669577,0.7273721803086669
Neuronal,L5/6 NP,0.9583333333333333,11,12,0.26860612699726377,0.4159121299781781,0.6307865479489301,0.10390521263060765,0.08142239278680907,0.21813225226010666,0.6690930713810389
Neuronal,L6 CT,0.041666666666666664,12,11,0.0,0.002835480543126167,,0.0022861352953458098,0.0027872506110744586,0.42282469678709966,0.7677606336397336
Neuronal,L6 CT,0.125,12,12,0.0019424775791358443,0.0,,-0.002172151064762418,0.0018934353004084253,0.26553981230025747,0.7094688403864788
Neuronal,L6 CT,0.20833333333333331,12,12,0.024809027001811226,0.030308539606694704,0.28885918413389466,0.005470702683225653,0.015585353870218482,0.7294387703324245,0.968257186147818
Neuronal,L6 CT,0.29166666666666663,12,12,0.03203821085549047,0.030862186986419658,-0.05395328481899675,0.005892862155857375,0.017295121107407548,0.7370499884869667,0.968257186147818
Neuronal,L6 CT,0.375,12,12,0.08362266461282429,0.06895639328926366,-0.2782096978347723,-0.010707958104736376,0.02648208746578768,0.6904728644556283,0.966701316737129
Neuronal,L6 CT,0.4583333333333333,12,12,0.09223518557762295,0.17173646668109951,0.8968072997121022,0.0727503793419573,0.03739253628527629,0.06665149067028449,0.3832460713541358
Neuronal,L6 CT,0.5416666666666666,12,12,0.2861189144892012,0.5513544129402407,0.9463651142489442,0.19557178941406633,0.07109672332724773,0.01271331301949866,0.2329997916451868
Neuronal,L6 CT,0.625,12,12,0.6240747350234237,1.1519557655322323,0.8842946070766234,0.2915751911447585,0.08596943491764206,0.0030619858251088178,0.10044483625021491
Neuronal,L6 CT,0.7083333333333333,12,12,1.6089346238300768,2.2208157861012814,0.4649840221647507,0.22701670679899968,0.15564802814917658,0.16102928825643772,0.5889961874879986
Neuronal,L6 CT,0.7916666666666666,12,12,6.558314987000899,8.099681107263356,0.3045399146477174,0.1979472053842194,0.2191707187545149,0.3777471190023478,0.7273721803086669
Neuronal,L6 CT,0.875,12,12,9.13400599387998,8.699328546090008,-0.07034368496999964,-0.04063386580152317,0.22230095001022726,0.8569009560278023,0.9934366328029326
Neuronal,L6 CT,0.9583333333333333,11,12,6.208051379311593,7.245252267584383,0.22289542522657815,0.21739816040425863,0.2074429784181209,0.3085120489269252,0.7094688403864788
Neuronal,L6 IT,0.041666666666666664,12,11,0.0,0.002733709014941378,,0.0026604296545387303,0.0026572353249903853,0.32999930513991965,0.7094688403864788
Neuronal,L6 IT,0.125,12,12,0.008201594799321369,0.004905384522144549,-0.7415382383996332,-0.003062222742680576,0.00689294149990044,0.6618769834650048,0.9504625534981306
Neuronal,L6 IT,0.20833333333333331,12,12,0.09860173443749838,0.10203545174491384,0.04938556757633188,0.007778791541042964,0.040443183204653475,0.8495177170474606,0.9934366328029326
Neuronal,L6 IT,0.29166666666666663,12,12,0.4918343192077708,0.4163831533922852,-0.24026070754021076,-0.029381290604568844,0.08089716619231324,0.7204700404237128,0.968257186147818
Neuronal,L6 IT,0.375,12,12,0.9884295040088883,0.8424468050194643,-0.2305524824057219,-0.10554433030254133,0.10767124992228952,0.3392824036703187,0.7094688403864788
Neuronal,L6 IT,0.4583333333333333,12,12,0.8780162686985126,1.2310839579211386,0.48760957791926424,0.14788880900161883,0.14080982637084435,0.306768430396275,0.7094688403864788
Neuronal,L6 IT,0.5416666666666666,12,12,1.1497407743623025,1.4710456668322427,0.35553341257774385,0.1052840940712944,0.12527903276461655,0.4111373704000164,0.7598699613643161
Neuronal,L6 IT,0.625,12,12,1.1022583942210857,1.5304038011658474,0.47344989831556705,0.19446112518311462,0.1036100464707254,0.07598164414859393,0.4138187038532606
Neuronal,L6 IT,0.7083333333333333,12,12,1.905472596049299,2.7433651770633394,0.525797816287754,0.27128882287062717,0.1153722872709313,0.029644550651292977,0.32338141408849497
