pool,region,subclass,outcome,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,pval,fdr
Neuronal,Vascular,L5/6 NP,proportion,10,8,0.0140992392445526,0.018569027876918172,0.3972809685448498,0.2598636795221674,0.42000404395988783,0.8125630816587377
Neuronal,Vascular,L6 CT,proportion,11,10,0.020981833684402706,0.021080853635366163,0.0067925216005152176,-0.11594188903398306,0.6958987494771849,0.9081460845880348
Neuronal,Vascular,L6 IT,proportion,11,11,0.0430298406222995,0.04435987527611771,0.04391781245446106,-0.1348633229105828,0.5053167214729638,0.8282634983541812
Neuronal,Vascular,L6 IT Car3,proportion,9,9,0.008596904389481316,0.012433384922105687,0.5323299492573239,0.3152929217753015,0.43858916261769026,0.8125630816587377
Neuronal,Vascular,L6b,proportion,9,10,0.014765985607909784,0.017713276289125435,0.26255342356269457,-0.24348903945852207,0.4861631940725179,0.827996689904757
Neuronal,Vascular,Lamp5,proportion,12,11,0.05510445415084109,0.07601875982922182,0.4641865511876398,0.267488471176384,0.35681169675380114,0.7758564663413161
Neuronal,Vascular,Lamp5 Lhx6,proportion,6,5,0.005793680272153964,0.03181269830505644,2.457050768387805,1.0544445955226651,0.16962485643662922,0.6210613014206106
Neuronal,Vascular,Pax6,proportion,10,9,0.016056571050473596,0.012692344395221116,-0.3392052589250623,-0.1713802655924116,0.4996405582982693,0.8282634983541812
Neuronal,Vascular,Pvalb,proportion,11,11,0.047058598935221,0.036414275698158347,-0.3699542188143628,-0.29685909386441467,0.313588359793971,0.7499256078056952
Neuronal,Vascular,Sncg,proportion,12,11,0.054744312666266344,0.05904486931479624,0.10910261023523307,0.259587955747417,0.5009534643259196,0.8282634983541812
Neuronal,Vascular,Sst,proportion,12,11,0.07761958069863097,0.0757319181707366,-0.035519169322629704,0.017181612959989656,0.9399691373773608,0.9696800640053869
Neuronal,Vascular,Vip,proportion,12,11,0.07598746191152157,0.06766824164960941,-0.16728248973272664,-0.13483121706315884,0.5016124382221854,0.8282634983541812
Neuronal,L1,L2/3 IT,density,12,12,0.6645499924970234,1.0931696656885153,0.7180676930818678,0.2488061394653967,0.1455735138117777,0.6205274425296272
Neuronal,L1,L4 IT,density,4,3,0.062085245608715915,0.08742333295856076,0.493767924405979,0.05714599197820737,0.707298479957833,0.9083088109846276
Neuronal,L1,Lamp5,density,12,12,7.022563381072864,8.254824051134142,0.23323972466076232,0.13891864469610643,0.40665291266539955,0.8125630816587377
Neuronal,L1,Pax6,density,12,12,2.952929303086749,3.5542849218762664,0.26741251974043556,0.14380217949528223,0.43640587840477324,0.8125630816587377
Neuronal,L1,Sncg,density,12,12,5.441300927262991,8.270790537792243,0.6040736136826131,0.3099411164993632,0.14801572023642484,0.6205274425296272
Neuronal,L1,Sst,density,9,6,0.06811246511570078,0.07968370820102731,0.22636594003341032,0.007753817490173355,0.698168695191507,0.9081460845880348
Neuronal,L1,Vip,density,12,12,1.9409606416945675,1.80565110869785,-0.10425170424738622,0.03325040523060345,0.8002897170696509,0.9379739694687307
Neuronal,L2/3,Chandelier,density,12,12,6.656940322541309,5.85479928207598,-0.1852395227965236,-0.004143656350393987,0.9737047860386048,0.9827205710945177
Neuronal,L2/3,L2/3 IT,density,12,12,115.93495978811347,106.99412138366041,-0.1157841393807503,-0.024403830647000913,0.8363875614970162,0.9453534658364342
Neuronal,L2/3,L4 IT,density,12,12,0.842375537293595,0.9702577108363987,0.20390445254766051,0.10361890580796315,0.2642859788324833,0.7229332496948486
Neuronal,L2/3,L5 ET,density,12,12,1.098223324783934,0.7850455551091481,-0.48432317847295525,-0.17019554798351982,0.1407967591288506,0.6193648036982395
Neuronal,L2/3,L5 IT,density,12,12,4.472562714178727,3.570729687988724,-0.3248827889558511,-0.15139076437343402,0.2762202046022,0.7229332496948486
Neuronal,L2/3,L5/6 NP,density,7,9,0.04258472352017049,0.07673900803486731,0.849624132928177,0.039871281018913775,0.08322483874387722,0.6094769492324698
Neuronal,L2/3,L6 CT,density,11,11,0.14112973782592375,0.14047269058137157,-0.0067323320106138776,0.01817497532073384,0.7347877904043669,0.9083088109846276
Neuronal,L2/3,L6 IT,density,12,12,1.3592450052781642,1.299632268187107,-0.06470205730063987,-0.03823407289531025,0.7965755899074729,0.9379739694687307
