pool,subclass,depth_bin,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,se,tstat,pval,fdr
Neuronal,L6 CT,0.875,12,12,0.13856657951054183,0.1323037708538107,-0.06672515865746895,-0.06476463267131854,0.08282793189105726,-0.7819177805441624,0.44389854769108844,0.7505057136003238
Neuronal,L6 CT,0.9583333333333333,11,12,0.18923262448556102,0.2149424403037881,0.1837895337833136,0.16988645931110732,0.14868574386998618,1.142587412143961,0.2681808249476118,0.6631366851777297
Neuronal,L6 IT,0.041666666666666664,12,11,0.0,0.00031133250311332503,,0.7311344817659061,0.7302566218777725,1.0012021252006948,0.3299993051399191,0.698822057943358
Neuronal,L6 IT,0.125,12,12,0.00017241950905363336,0.0001269147388003721,-0.442063401554555,-0.033080847964388704,1.173351251755239,-0.028193473961784607,0.9778018734204551,0.9927727793376239
Neuronal,L6 IT,0.20833333333333331,12,12,0.0013361142136812862,0.0014819344547838751,0.1494383018741462,0.05169732821829587,1.2661049809978293,0.04083178645861792,0.9678560192284423,0.9927727793376239
Neuronal,L6 IT,0.29166666666666663,12,12,0.010054739512650169,0.01143768592932744,0.1859194894842219,0.22163509175625506,0.3108697206890498,0.7129516868513146,0.48454068495660757,0.7717700712830216
Neuronal,L6 IT,0.375,12,12,0.025427203927479547,0.029802605973067692,0.22906566057512615,0.06384352602710908,0.20464597592939962,0.31197059085654494,0.7584605145390368,0.9161259185409056
Neuronal,L6 IT,0.4583333333333333,12,12,0.03496214961609144,0.03871799027278711,0.14721017850130544,0.08608594658975488,0.22062403202681652,0.39019297126838504,0.7007337760138657,0.9161259185409056
Neuronal,L6 IT,0.5416666666666666,12,12,0.018910482980286705,0.018949613272262543,0.0029821951802259665,-0.00682305143728601,0.2372965805814834,-0.028753264882985095,0.9773612487347519,0.9927727793376239
Neuronal,L6 IT,0.625,12,12,0.021253534436823814,0.0281957057442981,0.40777267473078993,0.28799846184369815,0.18307516922045863,1.573115912278039,0.132196488129712,0.5456228974679684
