region,subclass,outcome,n_ctrl,n_scz,ctrl_mean,scz_mean,log2fc,coef,pval,fdr
WM,Vip,proportion,12,12,0.0020200845520298586,0.0011372277774057502,-0.8288944360672256,0.04994060698018288,0.8791037985576386,0.9502941239120117
Vascular,Astrocyte,proportion,12,11,0.023587767001318215,0.028383105299272352,0.2669935899245712,0.3343429474622084,0.2559761248957261,0.7650860729300396
Vascular,Chandelier,proportion,12,11,0.0014766751573679915,0.0013484046054765817,-0.13109903343401685,-0.2123830836471749,0.48179075678893674,0.8419263925575389
Vascular,Endothelial,proportion,12,11,0.5414208304906925,0.3768974653219802,-0.5225783017638881,-0.8729793084271773,0.0474500470836099,0.5183612571288986
Vascular,L2/3 IT,proportion,12,11,0.010610280973565466,0.010346641672647656,-0.036300289394739886,0.0965867021508292,0.6967193854925702,0.9016555068705658
Vascular,L4 IT,proportion,12,11,0.0031368344063136835,0.0038120343803610362,0.28125175960099646,0.1445313826542271,0.6741741104862843,0.9016555068705658
Vascular,L5 ET,proportion,12,7,0.0010404926986950886,0.001182268361838246,0.18429070701573627,-0.017994797902923354,0.9764606252172988,0.9870939172708767
Vascular,L5 IT,proportion,12,11,0.002955223130062292,0.0035721175812800363,0.27351250635720215,0.25846161893295194,0.5771216939628614,0.8867605095788574
Vascular,L5/6 NP,proportion,10,8,0.00043761743058284,0.0007125235090606652,0.703267412608334,0.2864412156791152,0.5516676593149902,0.8867605095788574
Vascular,L6 CT,proportion,11,10,0.000645797306479391,0.0009956975564766022,0.6246261659431324,0.018548380848451188,0.9693081397928264,0.9870939172708767
Vascular,L6 IT,proportion,11,11,0.001334145293221673,0.0021013985298634,0.6554340050630199,-0.08258378311757367,0.8400196208048425,0.9326688436877295
Vascular,L6 IT Car3,proportion,9,9,0.00029074886034329115,0.0006165181999740229,1.0843699477130655,0.2802152391140037,0.622516799972938,0.9016555068705658
Vascular,L6b,proportion,9,10,0.0004285285574625222,0.0010217296596603976,1.2535502679038264,-0.22553328825046393,0.6635690446648729,0.9016555068705658
Vascular,Lamp5,proportion,12,11,0.0015384708467530083,0.0021424572746559455,0.47776932850292775,0.370873665358487,0.22967230167730635,0.7539242946363752
Vascular,Lamp5 Lhx6,proportion,6,5,0.0001687625997051,0.0004043297151363905,1.2605370176877462,0.6326224388191304,0.20396605371370402,0.7421808503070517
Vascular,Microglia-PVM,proportion,12,11,0.04854413673260299,0.04452440557058023,-0.12470070374310038,0.02234796746366491,0.9316864499207462,0.9702111711150226
Vascular,OPC,proportion,12,11,0.01179623947481445,0.010770717718677946,-0.1312126272192584,-0.11292588522894093,0.5319591527532928,0.8852047618438768
Vascular,Oligodendrocyte,proportion,12,11,0.02248438985411345,0.02915004846649678,0.37457454717604555,0.15756739155749022,0.4335430205936669,0.8340505735396941
Vascular,Pax6,proportion,10,9,0.0006064261592388262,0.00037318120973756915,-0.7004556419434729,-0.20841063427043283,0.42341819218184457,0.8340505735396941
Vascular,Pvalb,proportion,11,11,0.001758626689639018,0.0015409190187048152,-0.19065822435600993,-0.23640639222595175,0.6363612623811385,0.9016555068705658
