celltype,level,subclass,panel,topN,n_in_panel,genes_in_panel
L6 CT,subclass,L6 CT,MERSCOPE_4K,50,34,SEMA3E; ADAMTSL1; HS3ST4; TRPM3; FRMPD4; KHDRBS3; LRP1B; DLC1; SYNPO2; CLSTN2; ZFPM2; SEC24D; RYR2; MCTP1; MDGA2; COL24A1; TLE4; NPTX1; PDE1A; AFF3; NRP1; PDE4D; KCNH5; TMEFF2; GRIK4; SLC8A1; SLIT3; DPP10; PHACTR1; SORBS2; ZFHX3; ADCY1; SEMA3A; ASIC2
L6 CT,subclass,L6 CT,Xenium_5K,10,2,TRPM3; FOXP2
L6 CT,subclass,L6 CT,Xenium_5K,20,3,TRPM3; FOXP2; SYNPO2
L6 CT,subclass,L6 CT,Xenium_5K,50,14,TRPM3; FOXP2; SYNPO2; PRKAG2; NRP1; KCNH5; TMEFF2; MEIS2; GRIK4; SLIT3; CEMIP2; ZFHX3; HS3ST2; SEMA3A
L6 IT,subclass,L6 IT,Xenium_v1,10,1,SLIT3
L6 IT,subclass,L6 IT,Xenium_v1,20,3,SLIT3; THEMIS; ADAMTS3
L6 IT,subclass,L6 IT,Xenium_v1,50,6,SLIT3; THEMIS; ADAMTS3; TESPA1; SNTB2; ANO3
L6 IT,subclass,L6 IT,MERFISH_180,10,2,SLIT3; CBLN2
L6 IT,subclass,L6 IT,MERFISH_180,20,5,SLIT3; CBLN2; THEMIS; ADAMTS3; ATRNL1
L6 IT,subclass,L6 IT,MERFISH_180,50,7,SLIT3; CBLN2; THEMIS; ADAMTS3; ATRNL1; SATB2; NFIA
L6 IT,subclass,L6 IT,MERSCOPE_250,10,2,SLIT3; SLC35F3
L6 IT,subclass,L6 IT,MERSCOPE_250,20,3,SLIT3; SLC35F3; ADAMTS3
L6 IT,subclass,L6 IT,MERSCOPE_250,50,9,SLIT3; SLC35F3; ADAMTS3; TESPA1; ARHGEF28; DPYD; NFIA; AK5; PHACTR1
L6 IT,subclass,L6 IT,MERSCOPE_4K,10,3,SLIT3; SLC35F3; MCTP1
L6 IT,subclass,L6 IT,MERSCOPE_4K,20,6,SLIT3; SLC35F3; MCTP1; ADAMTS3; SYN3; ATRNL1
L6 IT,subclass,L6 IT,MERSCOPE_4K,50,22,SLIT3; SLC35F3; MCTP1; ADAMTS3; SYN3; ATRNL1; TESPA1; NECAB1; MLIP; ARHGEF28; DPYD; NFIA; AK5; SEC24D; CABP1; ANO3; PDE4D; PHACTR1; NELL2; MIR137HG; SNED1; CELF2
L6 IT,subclass,L6 IT,Xenium_5K,10,2,SLIT3; MYO1D
