supertype,rank,gene,score,logfoldchange,pval_adj,in_5k,in_v1
L4 IT_1,7,LRRK1,33.666626,3.3405187,8.11380982881429e-245,False,True
L4 IT_1,8,TLL1,33.164917,3.7693336,1.3761560320716067e-237,False,False
L4 IT_1,9,ADAMTSL1,32.11574,3.9915328,9.420321403833161e-223,False,False
L4 IT_1,10,PHACTR2,31.918581,2.689935,4.703927770172642e-220,False,False
L4 IT_2,1,SLC22A10,36.519764,4.0198503,1.7178090430907586e-287,False,False
L4 IT_2,2,TSHZ2,35.71151,4.7425356,4.178382032164995e-275,False,True
L4 IT_2,3,RORB,35.415005,4.4581304,1.0665771745305852e-270,True,True
L4 IT_2,4,DCC,35.135437,3.5127437,1.5468873386358075e-266,False,False
L4 IT_2,5,COBLL1,34.060463,3.8880992,1.812456283701628e-250,True,False
L4 IT_2,6,AC073091.3,33.52509,4.1649,1.1042461771069746e-242,False,False
L4 IT_2,7,SCHLAP1,33.479706,4.6422844,4.335487651393276e-242,False,False
L4 IT_2,8,AL117329.1,33.43444,4.1084185,1.727182137061546e-241,False,False
L4 IT_2,9,LINC01725,33.392086,3.948822,6.329424017958684e-241,False,False
L4 IT_2,10,FSTL4,33.3392,3.1925752,3.331454888848535e-240,False,True
L4 IT_3,1,RORB,34.78393,4.308685,1.3573040076256324e-260,True,True
L4 IT_3,2,SLC38A11,34.64329,4.2927217,8.989208832991161e-259,False,False
L4 IT_3,3,SCHLAP1,34.309624,4.597889,5.994905156523445e-254,False,False
L4 IT_3,4,DCC,33.843094,3.3395686,3.6564330611705333e-247,False,False
L4 IT_3,5,AC073365.1,32.769855,3.5910797,1.0099411719426278e-231,False,False
L4 IT_3,6,POU6F2,32.717365,3.3256638,4.701402546217308e-231,False,True
L4 IT_3,7,TSHZ2,32.422432,3.9586582,6.040365574820098e-227,False,True
L4 IT_3,8,ANO3,32.168896,3.0716455,1.9164119993810685e-223,True,True
L4 IT_3,9,COBLL1,31.990124,3.6604137,5.301755969215054e-221,True,False
L4 IT_3,10,EFNA5,31.239677,2.0836968,9.833191234171924e-211,False,False
L4 IT_4,1,RMST,38.155766,5.5917945,0.0,False,False
L4 IT_4,2,OTOGL,35.837513,4.5034924,4.589868275798787e-277,False,True
L4 IT_4,3,PLCH1,35.660416,3.8089914,1.7273033374848244e-274,False,True
L4 IT_4,4,PTPRD,35.265358,2.4279616,1.59103766202506e-268,False,False
L4 IT_4,5,AC073365.1,34.549725,3.8668294,9.178484788964177e-258,False,False
L4 IT_4,6,AC034268.2,33.593784,3.9559522,1.0390731271223944e-243,False,False
L4 IT_4,7,POU6F2,33.548214,3.4521706,3.8109146238516504e-243,False,True
L4 IT_4,8,RORB,33.454403,4.019517,7.870493392019527e-242,True,True
L4 IT_4,9,CPNE4,33.39177,3.466902,5.756893571386051e-241,False,False
L4 IT_4,10,LINC01821,33.31236,4.259175,7.413975576639492e-240,False,False
L5 ET_1,1,ERG,17.609842,6.2162604,6.602589415691995e-65,True,False
L5 ET_1,2,ONECUT1,17.406229,7.1997943,1.1800361252615519e-63,False,False
L5 ET_1,3,KCNN2,17.373047,3.227061,1.4035679191449092e-63,False,False
L5 ET_1,4,GRM8,16.85487,3.5331283,6.163120432420055e-60,False,False
L5 ET_1,5,TAFA1,16.772665,4.274224,2.0558810854403876e-59,False,False
L5 ET_1,6,ESRRG,16.72014,2.592496,4.2599338027442435e-59,True,False
L5 ET_1,7,PTCHD1-AS,16.452484,3.3084831,3.2091965558881545e-57,False,False
L5 ET_1,8,SORCS1,16.433014,3.4625466,3.9335330476238936e-57,True,True
L5 ET_1,9,DGKH,16.366817,2.98466,1.0525478415380762e-56,False,False
L5 ET_1,10,SEMA3D,16.285414,4.7451024,3.6323392079270214e-56,True,False
L5 ET_2,1,ESRRG,27.48476,2.9066052,8.51791287223451e-162,True,False
L5 ET_2,2,KCNN2,27.454496,3.2628322,9.7907647162036e-162,False,False
