supertype,n_markers,markers,n_in_MERSCOPE_250,pct_MERSCOPE_250,missing_MERSCOPE_250,n_in_MERSCOPE_4K,pct_MERSCOPE_4K,missing_MERSCOPE_4K,n_in_Xenium_5K,pct_Xenium_5K,missing_Xenium_5K,n_in_Xenium_v1,pct_Xenium_v1,missing_Xenium_v1
VLMC_1,10,"LAMA2, COLEC12, ABCA9, ATP1A2, RBMS3, RORA, MIR99AHG, RNF220, NTRK3, DCN",1,10.0,"ABCA9, ATP1A2, COLEC12, LAMA2, MIR99AHG, NTRK3, RBMS3, RNF220, RORA",4,40.0,"ABCA9, ATP1A2, LAMA2, MIR99AHG, NTRK3, RNF220",2,20.0,"ABCA9, ATP1A2, DCN, LAMA2, MIR99AHG, NTRK3, RNF220, RORA",2,20.0,"ABCA9, ATP1A2, COLEC12, MIR99AHG, NTRK3, RBMS3, RNF220, RORA"
VLMC_2,10,"ATP1A2, SLC19A1, EPS8, EBF1, IGFBP7, CALD1, DLC1, MYO1B, LHFPL6, PTEN",1,10.0,"ATP1A2, CALD1, EBF1, EPS8, IGFBP7, LHFPL6, MYO1B, PTEN, SLC19A1",2,20.0,"ATP1A2, EBF1, EPS8, IGFBP7, LHFPL6, MYO1B, PTEN, SLC19A1",4,40.0,"ATP1A2, CALD1, DLC1, EPS8, IGFBP7, LHFPL6",0,0.0,"ATP1A2, CALD1, DLC1, EBF1, EPS8, IGFBP7, LHFPL6, MYO1B, PTEN, SLC19A1"
Vip_1,10,"SHISA8, VIP, GALNT17, THSD7A, SYNPR, CCNG2, PROX1, CALN1, RGS6, PDE3A",3,30.0,"CCNG2, GALNT17, PROX1, RGS6, SHISA8, SYNPR, VIP",5,50.0,"GALNT17, RGS6, SHISA8, SYNPR, VIP",3,30.0,"CALN1, CCNG2, GALNT17, RGS6, SHISA8, SYNPR, THSD7A",3,30.0,"CALN1, CCNG2, GALNT17, PDE3A, RGS6, SHISA8, THSD7A"
Vip_11,10,"RYR3, SHISA8, HTR1E, THSD7A, L3MBTL4, LINGO2, CALN1, IGFBP5, RERG, KMO",5,50.0,"HTR1E, KMO, RERG, RYR3, SHISA8",7,70.0,"RERG, RYR3, SHISA8",4,40.0,"CALN1, IGFBP5, L3MBTL4, RYR3, SHISA8, THSD7A",2,20.0,"CALN1, HTR1E, KMO, L3MBTL4, LINGO2, RERG, SHISA8, THSD7A"
Vip_12,10,"VIP, LAMA3, GALNT17, RGS6, SHISA8, CCNH, GPR149, SEMA6D, TAC3, SLC22A3",1,10.0,"CCNH, GALNT17, GPR149, LAMA3, RGS6, SEMA6D, SHISA8, TAC3, VIP",4,40.0,"CCNH, GALNT17, RGS6, SHISA8, TAC3, VIP",4,40.0,"CCNH, GALNT17, RGS6, SEMA6D, SHISA8, SLC22A3",1,10.0,"CCNH, GALNT17, GPR149, LAMA3, RGS6, SEMA6D, SHISA8, SLC22A3, TAC3"
Vip_13,10,"SHISA8, RYR3, THSD7A, LRRC3B, VIP, ADAMTS6, PLCE1, CALN1, MYRIP, SEZ6",3,30.0,"LRRC3B, MYRIP, PLCE1, RYR3, SEZ6, SHISA8, VIP",4,40.0,"LRRC3B, MYRIP, RYR3, SEZ6, SHISA8, VIP",3,30.0,"ADAMTS6, CALN1, MYRIP, RYR3, SEZ6, SHISA8, THSD7A",3,30.0,"ADAMTS6, CALN1, LRRC3B, MYRIP, SEZ6, SHISA8, THSD7A"
Vip_14,10,"NCAM2, PLD5, TMTC2, CXCL14, PEX5L, KCTD8, DLX6-AS1, GPR158, PDE4D, BRINP1",2,20.0,"BRINP1, CXCL14, DLX6-AS1, GPR158, KCTD8, PDE4D, PEX5L, TMTC2",6,60.0,"CXCL14, GPR158, KCTD8, TMTC2",2,20.0,"CXCL14, DLX6-AS1, KCTD8, NCAM2, PDE4D, PEX5L, PLD5, TMTC2",2,20.0,"BRINP1, DLX6-AS1, GPR158, KCTD8, NCAM2, PDE4D, PEX5L, TMTC2"
Vip_15,10,"THSD7B, SDK1, DACH2, DLX6-AS1, PLD5, GRM7, CXCL14, ADARB2, ZBTB20, MTUS2",3,30.0,"CXCL14, DACH2, DLX6-AS1, GRM7, MTUS2, THSD7B, ZBTB20",5,50.0,"CXCL14, GRM7, MTUS2, THSD7B, ZBTB20",2,20.0,"ADARB2, CXCL14, DLX6-AS1, MTUS2, PLD5, SDK1, THSD7B, ZBTB20",4,40.0,"ADARB2, DACH2, DLX6-AS1, GRM7, MTUS2, ZBTB20"
Vip_16,10,"THSD7B, CNTN4, SNTG1, PLD5, DLX6-AS1, MIR99AHG, ROBO1, ARHGAP18, GALNT13, ADARB2",3,30.0,"ARHGAP18, CNTN4, DLX6-AS1, GALNT13, MIR99AHG, SNTG1, THSD7B",7,70.0,"CNTN4, MIR99AHG, THSD7B",0,0.0,"ADARB2, ARHGAP18, CNTN4, DLX6-AS1, GALNT13, MIR99AHG, PLD5, ROBO1, SNTG1, THSD7B",2,20.0,"ADARB2, ARHGAP18, CNTN4, DLX6-AS1, GALNT13, MIR99AHG, ROBO1, SNTG1"
Vip_18,10,"GALNT17, RGS6, SNTG1, PDE3A, NELL1, LAMA3, THSD7B, IQGAP2, SLC22A3, PTH2R",2,20.0,"GALNT17, IQGAP2, LAMA3, NELL1, PTH2R, RGS6, SNTG1, THSD7B",4,40.0,"GALNT17, IQGAP2, NELL1, PTH2R, RGS6, THSD7B",5,50.0,"GALNT17, RGS6, SLC22A3, SNTG1, THSD7B",1,10.0,"GALNT17, IQGAP2, LAMA3, NELL1, PDE3A, PTH2R, RGS6, SLC22A3, SNTG1"
Vip_19,10,"VIP, NR3C2, PDE3A, LAMA3, CCNG2, SMOC1, SEMA6D, DLX6-AS1, ABI3BP, ADARB2",2,20.0,"ABI3BP, CCNG2, DLX6-AS1, LAMA3, NR3C2, SEMA6D, SMOC1, VIP",7,70.0,"ABI3BP, NR3C2, VIP",6,60.0,"ADARB2, CCNG2, DLX6-AS1, SEMA6D",1,10.0,"ABI3BP, ADARB2, CCNG2, DLX6-AS1, LAMA3, NR3C2, PDE3A, SEMA6D, SMOC1"
Vip_2,10,"SOX2-OT, TAC3, CSMD1, LINC01322, AC092422.1, HTR2C, GALNT13, SHISA8, THSD7A, GALNTL6",2,20.0,"AC092422.1, CSMD1, GALNT13, HTR2C, LINC01322, SHISA8, SOX2-OT, TAC3",4,40.0,"AC092422.1, CSMD1, HTR2C, LINC01322, SHISA8, TAC3",3,30.0,"AC092422.1, CSMD1, GALNT13, GALNTL6, LINC01322, SHISA8, THSD7A",1,10.0,"AC092422.1, CSMD1, GALNT13, GALNTL6, LINC01322, SHISA8, SOX2-OT, TAC3, THSD7A"
Vip_21,10,"CNR1, SORCS3, PRR16, SORCS1, VIP, VWC2L, NR3C2, CNTN5, SVIL, LINC01470",1,10.0,"CNR1, CNTN5, LINC01470, NR3C2, PRR16, SORCS3, SVIL, VIP, VWC2L",5,50.0,"CNTN5, NR3C2, PRR16, VIP, VWC2L",5,50.0,"CNTN5, LINC01470, PRR16, SORCS3, VWC2L",3,30.0,"CNR1, CNTN5, LINC01470, NR3C2, PRR16, SORCS3, SVIL"
Vip_23,10,"ZBTB20, SOX2-OT, C8orf34, FIGN, SDK1, PARD3, IQGAP2, KCNT2, SCG2, ANKS1B",2,20.0,"ANKS1B, FIGN, IQGAP2, KCNT2, PARD3, SCG2, SOX2-OT, ZBTB20",5,50.0,"ANKS1B, IQGAP2, KCNT2, PARD3, ZBTB20",5,50.0,"ANKS1B, C8orf34, FIGN, SDK1, ZBTB20",1,10.0,"ANKS1B, C8orf34, FIGN, IQGAP2, KCNT2, PARD3, SCG2, SOX2-OT, ZBTB20"
Vip_4,10,"CNR1, ADRA1B, CALB2, AC013265.1, PTPRE, VIP, AL589740.1, CNTNAP4, CADM2, LRP1B",1,10.0,"AC013265.1, ADRA1B, AL589740.1, CADM2, CALB2, CNR1, CNTNAP4, PTPRE, VIP",3,30.0,"AC013265.1, ADRA1B, AL589740.1, CALB2, CNTNAP4, PTPRE, VIP",5,50.0,"AC013265.1, AL589740.1, CADM2, LRP1B, PTPRE",2,20.0,"AC013265.1, AL589740.1, CADM2, CALB2, CNR1, CNTNAP4, LRP1B, PTPRE"
Vip_5,10,"CNR1, AL589693.1, CHRNA7, CCK, NPAS3, KCNT2, WWP1, ADARB2, ADRA1B, CNTNAP4",2,20.0,"ADRA1B, AL589693.1, CCK, CHRNA7, CNR1, CNTNAP4, KCNT2, WWP1",3,30.0,"ADRA1B, AL589693.1, CCK, CHRNA7, CNTNAP4, KCNT2, WWP1",7,70.0,"ADARB2, AL589693.1, NPAS3",2,20.0,"ADARB2, AL589693.1, CHRNA7, CNR1, CNTNAP4, KCNT2, NPAS3, WWP1"
Vip_6,10,"KCNT2, AL589740.1, ALCAM, ZMAT4, GPHN, ADRA1B, NR2F2-AS1, EDIL3, FAM126A, AL356108.1",1,10.0,"ADRA1B, AL356108.1, AL589740.1, ALCAM, EDIL3, FAM126A, GPHN, KCNT2, NR2F2-AS1",2,20.0,"ADRA1B, AL356108.1, AL589740.1, ALCAM, EDIL3, GPHN, KCNT2, NR2F2-AS1",5,50.0,"AL356108.1, AL589740.1, FAM126A, NR2F2-AS1, ZMAT4",1,10.0,"AL356108.1, AL589740.1, ALCAM, EDIL3, FAM126A, GPHN, KCNT2, NR2F2-AS1, ZMAT4"
Vip_9,10,"KCNT2, AL589740.1, CSMD1, THSD7A, AL136114.1, AC016766.1, B4GALT6, KMO, SYNPR, ZMAT4",2,20.0,"AC016766.1, AL136114.1, AL589740.1, B4GALT6, CSMD1, KCNT2, KMO, SYNPR",4,40.0,"AC016766.1, AL136114.1, AL589740.1, CSMD1, KCNT2, SYNPR",2,20.0,"AC016766.1, AL136114.1, AL589740.1, B4GALT6, CSMD1, SYNPR, THSD7A, ZMAT4",1,10.0,"AC016766.1, AL136114.1, AL589740.1, B4GALT6, CSMD1, KCNT2, KMO, THSD7A, ZMAT4"
