supertype,subclass,top5_in_panel,top5_genes,top10_in_panel,top10_genes,top20_in_panel,top20_genes,median_depth_merfish,median_depth_xenium,n_cells_xenium,depth_range_subclass,min_separation,layer_distinct,crumblr_logFC,crumblr_fdr,density_logFC,density_fdr,confidence
Sncg_6,Sncg,1,CCK,1,CCK,1,CCK,0.1243859464521252,0.1122174141458663,1043.0,0.11442495530025559,0.0071786671232901,False,0.184878322258888,0.522316195418202,0.3105220616898889,0.3928465943510079,LOW
Vip_9,Vip,0,,0,,0,,0.1934618139252338,0.195041013483747,738.0,0.38363344324376525,0.021758348756862306,False,-0.143842417529945,0.522316195418202,-0.1324843640045222,0.9091618837087202,LOW
Lamp5_6,Lamp5,1,SDK1,1,SDK1,2,SDK1; RYR3,0.1054146868279746,0.1258119312901974,1521.0,0.3854888231913217,0.010559958530436703,False,-0.149001641086464,0.522316195418202,-0.0322578418346558,0.8642047814424221,LOW
Sst_12,Sst,0,,1,VCAN,1,VCAN,0.7612772736571891,0.769678883965776,670.0,0.6219978107039386,0.02099042357482639,False,-0.147295704976235,0.522316195418202,-0.1096087959102885,0.82791167846339,LOW
Micro-PVM_2_3-SEAAD,Microglia-PVM,0,,0,,0,,0.4806562692227901,0.4411359195509564,18534.0,0.1735881034713871,0.006196234544318613,False,-0.180729949986415,0.522316195418202,-0.1473519286610546,0.9794445968510403,LOW
Vip_16,Vip,1,THSD7B,1,THSD7B,1,THSD7B,0.2175504768423322,0.2307030271789908,747.0,0.38363344324376525,0.002330314160236102,False,0.126405288194583,0.522316195418202,0.2301095661752724,0.4835799973222009,LOW
Sst_10,Sst,1,SPHKAP,2,SPHKAP; ITGA8,4,SPHKAP; ITGA8; TRPC6; RYR3,0.6743330891592931,0.6062467429003474,3255.0,0.6219978107039386,0.038724005334908274,False,0.130421396659928,0.52485058492975,0.2686020878245529,0.3129479248094118,MEDIUM
Pax6_1,Pax6,1,CDH12,2,CDH12; RELN,2,CDH12; RELN,0.1249021634521823,0.1057396549320439,1801.0,0.2373642036290275,0.1122849564766363,True,-0.162706835444118,0.52485058492975,-0.0931118282946439,0.8188409257846216,HIGH
Vip_5,Vip,0,,0,,1,CCK,0.2776755632603616,0.2010708977583172,673.0,0.38363344324376525,0.0078939158890729,False,0.16092047179863,0.52485058492975,0.1433640258856423,0.7861236591863822,LOW
L6b_6,L6b,2,MEIS2; NPFFR2,3,MEIS2; NPFFR2; KCNH5,3,MEIS2; NPFFR2; KCNH5,0.7962871609854022,0.8414425674902257,3946.0,0.09709823755042613,0.020207319932420975,False,0.254193741939044,0.52485058492975,0.3107602024005811,0.6012314593874274,HIGH
