supertype,unrestricted_markers,panel_markers,n_overlap,overlap_genes
Sst_13,"ASTN2, CACNA2D3, CDH9, GRIK1, GRIN3A, KCNMB2, NETO1, NPAS3, RBFOX1, TRHDE","LHX6, PLCH1, RELN, RNASET2, SAMD5, SLC24A3, SPHKAP, SST, SYNPR, TRHDE",1,TRHDE
Sst_19,"ASTN2, GRIK1, GRIN3A, MGAT4C, NETO1, NPAS3, PCDH15, PHACTR2, PLCH1, ROBO1","ANK1, COL25A1, LHX6, PLCH1, RELN, SAMD5, SST, SYNPR, TENM1, TRHDE",1,PLCH1
Sst_2,"COL25A1, DLGAP1, EYS, GRIK1, KIF26B, PCSK5, PLCH1, RASGRF2, SOX6, TIAM1","BTBD11, CDH12, COL25A1, GAD1, MYO5B, NXPH2, PLCH1, SLC24A3, SST, TENM1",2,"COL25A1, PLCH1"
Sst_20,"CDH12, GRIK1, KIF26B, NRXN3, RBFOX1, RBMS3, ROBO2, SOX6, SPOCK3, TIAM1","CDH12, CUX2, MYO5B, NXPH2, PLCH1, SLC24A3, SST, SYNPR, TAC1, TENM1",1,CDH12
Sst_22,"CDH12, EYA2, GRIK1, KIF26B, MAN1A1, NRXN3, RBFOX1, RBMS3, SPOCK3, TMEFF2","CDH12, CDH4, CUX2, DCN, NXPH2, SLC24A3, SST, STK32B, SYNPR, TENM1",1,CDH12
Sst_23,"CDH12, COL25A1, DMD, GRIK1, KIAA1217, KIRREL3, PTPRT, RASGRF2, SOX6, TIAM1","CDH12, COL25A1, CUX2, HTR2C, MYO5B, NXPH2, PTCHD4, SLC24A3, TENM1, TMEM132C",2,"CDH12, COL25A1"
Sst_25,"CALB1, CDH12, CRYBG3, GRID2, GRIK1, KIRREL3, MAP3K5, NCAM2, ROBO2, SGCZ","CDH12, COL25A1, CUX2, MYO5B, NXPH2, SLC24A3, SST, STK32B, TENM1, TMEM132C",1,CDH12
Sst_3,"CACNA2D3, GRIK1, KIF26B, NRXN3, PCSK5, PLCH1, RBFOX1, ROBO1, ROBO2, SST","COL25A1, GAD2, NXPH2, PLCH1, RELN, RSPO2, SLC24A3, SST, SYNPR, TENM1",2,"PLCH1, SST"
Sst_4,"BRINP3, CDH13, CDH9, CTNND2, GRIK2, GRIN3A, NPAS3, PHACTR2, SLIT2, TRHDE","BRINP3, COL25A1, NDST4, PLCH1, SAMD5, SPHKAP, SYNPR, THSD7B, TRHDE, TRPC6",2,"BRINP3, TRHDE"
Sst_5,"BRINP3, CTNND2, FBN2, GPC6, GRID2, GRIN3A, PLCB1, SLIT2, SPOCK3, TRHDE","BRINP3, PLCH1, PTCHD4, RSPO2, SAMD5, SPON1, SST, SYNPR, THSD7B, TRHDE",2,"BRINP3, TRHDE"
Sst_7,"ANO4, BRINP3, FBN2, GPC6, GRIK2, KCNMB2, LRRC4C, SLIT2, SPOCK3, TRHDE","BRINP3, LYPD6, PLCH1, PTCHD4, RSPO2, SAMD5, SPON1, TENM1, THSD7B, TRHDE",2,"BRINP3, TRHDE"
Sst_9,"AUTS2, DAPK1, NAV2, PCDH11X, PCDH7, PRKG2, PTPRT, SPHKAP, ST6GALNAC5, TRHDE","ANK1, BTBD11, MYO5B, SAMD5, SLC24A3, SPHKAP, SYNPR, TAC1, TMEM132C, TRHDE",2,"SPHKAP, TRHDE"
VLMC_1,"ABCA9, ATP1A2, COLEC12, DCN, LAMA2, MIR99AHG, NTRK3, RBMS3, RNF220, RORA","CEMIP, CLDN11, DCN, DDR2, FBLN1, LAMA2, MCTP2, PDGFRA, SEMA5A, TMEM132C",2,"DCN, LAMA2"
VLMC_2,"ATP1A2, CALD1, DLC1, EBF1, EPS8, IGFBP7, LHFPL6, MYO1B, PTEN, SLC19A1","ABCC9, ANO3, CDH6, DCN, IFITM3, LAMA2, NR2F2, PHLDB2, PLCE1, SEMA5A",0,
Vip_1,"CALN1, CCNG2, GALNT17, PDE3A, PROX1, RGS6, SHISA8, SYNPR, THSD7A, VIP","CCK, EGFR, PLCE1, PLD5, PROX1, RELN, SLC24A3, SYNPR, VIP, VWC2L",3,"PROX1, SYNPR, VIP"
Vip_11,"CALN1, HTR1E, IGFBP5, KMO, L3MBTL4, LINGO2, RERG, RYR3, SHISA8, THSD7A","IGFBP5, ITGA8, PLCE1, PLD5, PROX1, PTPRZ1, RYR3, SLC24A3, SYNPR, VIP",2,"IGFBP5, RYR3"
Vip_12,"CCNH, GALNT17, GPR149, LAMA3, RGS6, SEMA6D, SHISA8, SLC22A3, TAC3, VIP","BTBD11, CCK, MCTP2, PLCE1, PROX1, SLC24A3, SYNPR, TRPC6, VIP, VWC2L",1,VIP
Vip_13,"ADAMTS6, CALN1, LRRC3B, MYRIP, PLCE1, RYR3, SEZ6, SHISA8, THSD7A, VIP","BTBD11, IGFBP5, ITGA8, PLCE1, PLD5, PROX1, PTPRZ1, RYR3, SLC24A3, VIP",3,"PLCE1, RYR3, VIP"
Vip_14,"BRINP1, CXCL14, DLX6-AS1, GPR158, KCTD8, NCAM2, PDE4D, PEX5L, PLD5, TMTC2","CXCL14, HTR2C, NR2F2, PLD5, RELN, SDK1, SEMA5A, SLC24A3, THSD7B, VIP",2,"CXCL14, PLD5"
Vip_15,"ADARB2, CXCL14, DACH2, DLX6-AS1, GRM7, MTUS2, PLD5, SDK1, THSD7B, ZBTB20","ADRA1B, CXCL14, EGFR, NR2F2, PLD5, PROX1, SDK1, SLC24A3, THSD7B, VIP",4,"CXCL14, PLD5, SDK1, THSD7B"
Vip_16,"ADARB2, ARHGAP18, CNTN4, DLX6-AS1, GALNT13, MIR99AHG, PLD5, ROBO1, SNTG1, THSD7B","ADRA1A, CXCL14, NR2F2, PLD5, PROX1, RYR3, SDK1, SYNPR, THSD7B, VIP",2,"PLD5, THSD7B"
Vip_18,"GALNT17, IQGAP2, LAMA3, NELL1, PDE3A, PTH2R, RGS6, SLC22A3, SNTG1, THSD7B","CCK, COL12A1, LYPD6B, MCTP2, PROX1, SLC24A3, SYNPR, THSD7B, VIP, VWC2L",1,THSD7B
Vip_19,"ABI3BP, ADARB2, CCNG2, DLX6-AS1, LAMA3, NR3C2, PDE3A, SEMA6D, SMOC1, VIP","CCK, EGFR, PROX1, SEMA5A, SLC24A3, SYNPR, THSD7B, VCAN, VIP, VWC2L",1,VIP
Vip_2,"AC092422.1, CSMD1, GALNT13, GALNTL6, HTR2C, LINC01322, SHISA8, SOX2-OT, TAC3, THSD7A","ADRA1B, EGFR, HTR2C, PLD5, PROX1, PTPRZ1, SDK1, SLC24A3, SYNPR, TSHZ2",1,HTR2C
Vip_21,"CNR1, CNTN5, LINC01470, NR3C2, PRR16, SORCS1, SORCS3, SVIL, VIP, VWC2L","ANGPT1, CCK, CXCL14, DNER, KIT, PROX1, SORCS1, SYNPR, VIP, VWC2L",3,"SORCS1, VIP, VWC2L"
Vip_23,"ANKS1B, C8orf34, FIGN, IQGAP2, KCNT2, PARD3, SCG2, SDK1, SOX2-OT, ZBTB20","CXCL14, DNER, EGFR, ITGA8, LYPD6, LYPD6B, PLD5, PROX1, SDK1, SLC24A3",1,SDK1
Vip_4,"AC013265.1, ADRA1B, AL589740.1, CADM2, CALB2, CNR1, CNTNAP4, LRP1B, PTPRE, VIP","ADRA1B, ANGPT1, BTBD11, CCK, PLCE1, PLD5, PROX1, SYNPR, VIP, VWC2L",2,"ADRA1B, VIP"
Vip_5,"ADARB2, ADRA1B, AL589693.1, CCK, CHRNA7, CNR1, CNTNAP4, KCNT2, NPAS3, WWP1","ADRA1A, ADRA1B, ANGPT1, CCK, CXCL14, EGFR, KIT, NR2F2, PLD5, VWC2L",2,"ADRA1B, CCK"
Vip_6,"ADRA1B, AL356108.1, AL589740.1, ALCAM, EDIL3, FAM126A, GPHN, KCNT2, NR2F2-AS1, ZMAT4","ADRA1A, ADRA1B, ANK1, ARHGAP24, IGFBP5, LYPD6B, NR2F2, PLD5, PTPRZ1, SYNPR",1,ADRA1B
Vip_9,"AC016766.1, AL136114.1, AL589740.1, B4GALT6, CSMD1, KCNT2, KMO, SYNPR, THSD7A, ZMAT4","ADRA1B, ANK1, LYPD6, NR2F2, PLD5, PROX1, PTPRZ1, RYR3, SDK1, SYNPR",1,SYNPR
