supertype,rank,gene,score,logfoldchange,pval_adj
L2/3 IT_13,9,CAMK2A,29.186016,1.7411355,1.5570391250706646e-184
L2/3 IT_13,10,MET,29.14339,3.2569492,4.864895618963054e-184
L4 IT_1,1,RORB,33.93866,4.1033587,8.610509448610221e-249
L4 IT_1,2,FOXP2,28.644876,2.9285429,2.972132327443374e-177
L4 IT_1,3,FMN1,28.421225,1.8108644,1.0618470622414513e-174
L4 IT_1,4,SORCS2,27.351822,2.2985184,8.222091103305016e-162
L4 IT_1,5,R3HDM1,27.0135,1.4163728,6.157636890360385e-158
L4 IT_1,6,HTR2A,26.909184,2.4704409,9.149737712424502e-157
L4 IT_1,7,HS3ST2,26.836157,2.5755234,5.875986007444776e-156
L4 IT_1,8,RXFP1,26.014088,2.5244145,1.3730103419262287e-146
L4 IT_1,9,GRM7,25.728148,1.7317628,2.0914076120154075e-143
L4 IT_1,10,NRN1,25.531391,2.4093723,3.0314381655010593e-141
L4 IT_2,1,RORB,35.415005,4.4581304,4.81770632310777e-271
L4 IT_2,2,COBLL1,34.060463,3.8880992,6.8223552772828035e-251
L4 IT_2,3,TOX,31.910126,3.4216976,2.8088425297891366e-220
L4 IT_2,4,FOXP2,31.904135,3.4668496,2.8088425297891366e-220
L4 IT_2,5,RARB,31.616001,2.8490558,2.1372426952049397e-216
L4 IT_2,6,GABRG1,30.401564,3.6016648,4.1918451128311616e-200
L4 IT_2,7,EPHA4,29.68764,2.239641,7.606379310898581e-191
L4 IT_2,8,OLFM1,29.519999,2.033646,9.571440533947012e-189
L4 IT_2,9,KCNH5,28.979597,2.5492926,6.346670592629672e-182
L4 IT_2,10,TPBG,28.409033,4.5825534,7.510316579344345e-175
L4 IT_3,1,RORB,34.78393,4.308685,2.043637740136797e-261
L4 IT_3,2,ANO3,32.168896,3.0716455,1.1541856107644799e-223
L4 IT_3,3,COBLL1,31.990124,3.6604137,2.3947918506415846e-221
L4 IT_3,4,KCNH5,31.14318,2.7623973,7.531334276485653e-210
L4 IT_3,5,COL5A2,29.83543,3.4291532,1.3029486165391976e-192
L4 IT_3,6,R3HDM1,29.419321,1.5705956,2.488365983771248e-187
L4 IT_3,7,KCNH1,28.423912,1.9368854,7.02603561569093e-175
L4 IT_3,8,EPHA4,27.04318,2.0091548,2.7576421452960285e-158
L4 IT_3,9,RFTN1,26.704092,2.2194095,2.251068260458993e-154
L4 IT_3,10,MRTFB,26.371315,1.4782807,1.4040183108733355e-150
L4 IT_4,1,RORB,33.454403,4.019517,1.0665255178763362e-241
L4 IT_4,2,FOXP1,33.16262,2.0195768,8.944790580687873e-238
L4 IT_4,3,ANO3,33.120796,3.2299104,2.3877399671951204e-237
L4 IT_4,4,MYLK,31.767317,3.9630327,2.1981013965049167e-218
L4 IT_4,5,GUCY1A2,31.344038,2.0626144,1.1266018969529999e-212
L4 IT_4,6,TCERG1L,31.189182,3.0653687,1.1953675390608234e-210
L4 IT_4,7,NREP,30.144793,2.5446272,8.610256520950398e-197
L4 IT_4,8,SATB2,28.65558,2.6511238,8.198886569561977e-178
L4 IT_4,9,PHLDB2,28.407438,3.5948937,8.732278494756846e-175
L4 IT_4,10,EPHA4,27.405321,2.0695126,1.1380467136532038e-162
L5 ET_1,1,ERG,17.609842,6.2162604,9.941251802637869e-66
L5 ET_1,2,ESRRG,16.72014,2.592496,2.244903503048396e-59
L5 ET_1,3,SORCS1,16.433014,3.4625466,1.7767684784770892e-57
L5 ET_1,4,SEMA3D,16.285414,4.7451024,1.5039932088633958e-56
L5 ET_1,5,CHST8,16.202156,5.20407,4.676210094729913e-56
L5 ET_1,6,HTR4,16.075073,3.5735326,3.05365396411059e-55
L5 ET_1,7,SULF2,16.0532,3.7790194,3.724415880299252e-55
L5 ET_1,8,UTRN,15.99789,3.3235202,7.934013023990424e-55
L5 ET_1,9,FRAS1,15.506563,2.7213182,1.6710903791072852e-51
L5 ET_1,10,SLIT3,15.262885,3.232919,6.489366192108994e-50
L5 ET_2,1,ESRRG,27.48476,2.9066052,1.2825076854629576e-162
L5 ET_2,2,CHST8,26.38135,5.1994424,5.385522207644317e-150
L5 ET_2,3,IQSEC1,25.22024,2.0748022,3.8462457493306743e-137
L5 ET_2,4,SULF2,25.03731,3.4616163,2.8814159930839865e-135
L5 ET_2,5,FAT3,24.91275,2.7314627,5.198624552603232e-134
L5 ET_2,6,SLIT3,24.782011,3.4170094,1.1215256917438587e-132
L5 ET_2,7,SORCS1,24.565287,3.1810362,2.0370981515837656e-130
L5 ET_2,8,BCL11B,24.145807,2.7838666,4.9602699744279894e-126
L5 ET_2,9,NRP1,23.899471,3.2958941,1.654972327845267e-123
L5 ET_2,10,TOX,23.770142,3.5184226,3.266726772131142e-122
L5 IT_1,1,TOX,35.123505,4.00715,1.4170824947339291e-266
L5 IT_1,2,FOXP2,34.36894,3.8968847,1.763208896049468e-255
L5 IT_1,3,RORB,33.84054,4.088474,8.003515813670368e-248
L5 IT_1,4,EPHA3,33.2574,3.1822536,1.9154618297668692e-239
