n_addon,total_genes,total_coverage,mean_coverage,median_coverage,types_ge5,types_ge3,types_all10,gene_added,mean_eff_weighted
253,519,1039,8.1171875,8.0,124,128,25,CELF2,2.616096371897166
254,520,1040,8.125,8.0,124,128,26,GHR,2.619219271149248
255,521,1041,8.1328125,8.0,124,128,26,SLC22A10,2.62234217040133
256,522,1042,8.140625,8.0,124,128,26,PRKCA,2.625522825060281
257,523,1043,8.1484375,8.0,124,128,27,AP000829.1,2.6286457243123627
258,524,1044,8.15625,8.0,124,128,27,CHST9,2.6294485830836107
259,525,1045,8.1640625,8.0,124,128,27,PDE1A,2.6310549959972853
260,526,1046,8.171875,8.0,124,128,27,ST6GALNAC3,2.6341778952493673
261,527,1047,8.1796875,8.0,124,128,28,RUNX2,2.635095078149793
262,528,1048,8.1875,8.0,124,128,28,LINC01250,2.638217977401875
263,529,1049,8.1953125,8.0,124,128,28,SPARCL1,2.641340876653957
264,530,1050,8.203125,8.0,124,128,28,PTPRK,2.644463775906039
265,531,1051,8.2109375,8.0,124,128,29,NOVA1,2.6456599861259678
266,532,1052,8.21875,8.0,124,128,30,SFMBT2,2.647865236381354
267,533,1053,8.2265625,8.0,124,128,30,XKR4,2.6509881356334355
268,534,1054,8.234375,8.0,124,128,30,SLC19A1,2.6541110348855175
269,535,1055,8.2421875,8.0,124,128,30,LRRC3B,2.657233934137599
270,536,1056,8.25,8.0,124,128,30,MOXD1,2.660356833389681
271,537,1057,8.2578125,8.5,124,128,30,LUZP2,2.6617472610462816
272,538,1058,8.265625,8.5,124,128,30,ANKS1B,2.6648701602983635
273,539,1059,8.2734375,8.5,124,128,30,IGF1,2.6679930595504455
274,540,1060,8.28125,8.5,124,128,30,PTPRD,2.6711159588025275
275,541,1061,8.2890625,9.0,124,128,30,TF,2.674238858054609
276,542,1062,8.296875,9.0,124,128,30,PRUNE2,2.677361757306691
277,543,1063,8.3046875,9.0,124,128,31,AC093607.1,2.680484656558773
278,544,1064,8.3125,9.0,124,128,31,DPP6,2.683705023969955
279,545,1065,8.3203125,9.0,124,128,31,NEAT1,2.6868279232220367
280,546,1066,8.328125,9.0,124,128,32,NFIB,2.6899508224741187
281,547,1067,8.3359375,9.0,124,128,32,CACNB2,2.6930737217262
282,548,1068,8.34375,9.0,124,128,32,ANOS1,2.696196620978282
283,549,1069,8.3515625,9.0,124,128,33,SGO1-AS1,2.699319520230364
284,550,1070,8.359375,9.0,124,128,34,GRIP1,2.7002111229863583
285,551,1071,8.3671875,9.0,125,128,34,DAPK1,2.70333402223844
286,552,1072,8.375,9.0,125,128,34,SNTB1,2.7083686053683054
287,553,1073,8.3828125,9.0,125,128,34,AC021134.1,2.7114915046203873
288,554,1074,8.390625,9.0,125,128,34,SEMA5B,2.7146144038724693
289,555,1075,8.3984375,9.0,125,128,34,ADAMTS6,2.7160080339100956
290,556,1076,8.40625,9.0,125,128,35,LINC01725,2.7191309331621776
291,557,1077,8.4140625,9.0,125,128,35,DPP4,2.722139992758164
292,558,1078,8.421875,9.0,126,128,35,ABCB1,2.7252628920102455
293,559,1079,8.4296875,9.0,126,128,35,ABI3BP,2.7283857912623275
294,560,1080,8.4375,9.0,127,128,35,EBF1,2.731508690514409
295,561,1081,8.4453125,9.0,127,128,35,MIR137HG,2.7332259448751106
296,562,1082,8.453125,9.0,127,128,35,FRMD5,2.7363488441271926
297,563,1083,8.4609375,9.0,127,128,35,MPPED2,2.739751026160862
298,564,1084,8.46875,9.0,127,128,36,NAV3,2.742873925412944
299,565,1085,8.4765625,9.0,127,128,36,AC008696.2,2.745996824665026
300,566,1086,8.484375,9.0,127,128,36,AL391117.1,2.749119723917108
301,567,1087,8.4921875,9.0,127,128,37,NXPH1,2.7522426231691894
302,568,1088,8.5,9.0,127,128,37,AC073578.2,2.7553655224212714
303,569,1089,8.5078125,9.0,127,128,37,MSI2,2.7584884216733534
304,570,1090,8.515625,9.0,127,128,37,MYRIP,2.761611320925435
305,571,1091,8.5234375,9.0,127,128,37,PTCHD1-AS,2.764734220177517
306,572,1092,8.53125,9.0,127,128,38,KCNH7,2.767857119429599
307,573,1093,8.5390625,9.0,127,128,39,PALM2-AKAP2,2.770980018681681
308,574,1094,8.546875,9.0,127,128,39,FAM126A,2.7749354273498117
309,575,1095,8.5546875,9.0,127,128,39,CUX1,2.7780583266018937
310,576,1096,8.5625,9.0,127,128,39,MYO1D,2.7811812258539756
311,577,1097,8.5703125,9.0,127,128,39,ABCA9,2.7843041251060576
312,578,1098,8.578125,9.0,127,128,39,L3MBTL4,2.7863505217472015
313,579,1099,8.5859375,9.0,127,128,39,KLHL29,2.7875949031016023
314,580,1100,8.59375,9.0,127,128,39,PEX5L,2.7899879115653525
315,581,1101,8.6015625,9.0,127,128,39,SOX5,2.791580206094218
316,582,1102,8.609375,9.0,127,128,39,BACH2,2.7921642474849104
317,583,1103,8.6171875,9.0,127,128,39,ELAVL2,2.7952871467369924
318,584,1104,8.625,9.0,127,128,39,MYO1B,2.7984100459890744
319,585,1105,8.6328125,9.0,127,128,39,CHST8,2.8015329452411564
320,586,1106,8.640625,9.0,127,128,39,NTRK3,2.8046558444932383
321,587,1107,8.6484375,9.0,127,128,40,EFNA5,2.8077787437453203
322,588,1108,8.65625,9.0,127,128,41,RYR2,2.8099085717238683
323,589,1109,8.6640625,9.0,127,128,41,HMBOX1,2.8130314709759503
324,590,1110,8.671875,9.0,127,128,42,DMD,2.816154370228032
325,591,1111,8.6796875,9.0,127,128,43,AC008574.1,2.8192772694801134
326,592,1112,8.6875,9.0,127,128,43,ITGA11,2.821878642559149
327,593,1113,8.6953125,9.0,127,128,43,AL157944.1,2.82500154181123
328,594,1114,8.703125,9.0,127,128,43,AC099517.1,2.828124441063312
329,595,1115,8.7109375,9.0,127,128,43,BRINP1,2.8315947436721336
330,596,1116,8.71875,9.0,127,128,44,GRIA4,2.8347176429242156
331,597,1117,8.7265625,9.0,127,128,44,CADM2,2.836757283046473
332,598,1118,8.734375,9.0,127,128,44,CACNA1E,2.839880182298555
333,599,1119,8.7421875,9.0,127,128,44,HCRTR2,2.843003081550637
334,600,1120,8.75,9.0,127,128,44,ENPP2,2.846125980802719
335,601,1121,8.7578125,9.0,127,128,45,AL356124.1,2.849248880054801
336,602,1122,8.765625,9.0,127,128,45,ZNRF3,2.852371779306883
337,603,1123,8.7734375,9.0,127,128,46,LINC02196,2.8554946785589643
338,604,1124,8.78125,9.0,127,128,46,AL356108.1,2.858617577811046
339,605,1125,8.7890625,9.0,127,128,46,ESYT2,2.861740477063128
340,606,1126,8.796875,9.0,127,128,46,KCNB2,2.8630744251837816
341,607,1127,8.8046875,9.0,127,128,46,MCTP1,2.8637024984195594
342,608,1128,8.8125,9.0,127,128,46,MAN1A1,2.8658266894913713
343,609,1129,8.8203125,9.0,127,128,46,NECAB1,2.869423007281821
344,610,1130,8.828125,9.0,127,128,46,HOPX,2.8704963695657657
345,611,1131,8.8359375,9.0,127,128,46,GRM7,2.8736192688178477
346,612,1132,8.84375,9.0,127,128,46,LINGO2,2.8753178768816134
347,613,1133,8.8515625,9.0,127,128,46,LHFPL6,2.8784407761336954
348,614,1134,8.859375,9.0,127,128,47,EYA2,2.8815636753857774
349,615,1135,8.8671875,9.0,127,128,47,ALCAM,2.8846865746378594
350,616,1136,8.875,9.0,127,128,47,PTEN,2.887809473889941
351,617,1137,8.8828125,9.0,127,128,47,KHDRBS2,2.890932373142023
352,618,1138,8.890625,9.0,127,128,48,AC091078.1,2.894055272394105
353,619,1139,8.8984375,9.0,127,128,49,AC004852.2,2.897178171646187
