supertype,gene,frac_snrna,mean_snrna,frac_merfish,mean_merfish,n_cells_snrna,n_cells_merfish
Micro-PVM_2_3-SEAAD,NKAIN2,0.09523809523809523,0.09523809523809523,0.205,0.26644866512837073,21,1000
Micro-PVM_2_3-SEAAD,GRIN2A,0.09523809523809523,0.09523809523809523,0.327,0.6569519841772603,21,1000
Micro-PVM_2_3-SEAAD,PAX6,0.0,0.0,0.159,0.20912820866912865,21,1000
Micro-PVM_2_3-SEAAD,LRP1B,0.14285714285714285,0.23809523809523808,0.079,0.08616567319541957,21,1000
Micro-PVM_2_3-SEAAD,TOX,0.09523809523809523,0.09523809523809523,0.154,0.24052109701988814,21,1000
Micro-PVM_2_3-SEAAD,ASIC2,0.0,0.0,0.12,0.14167223598506232,21,1000
Micro-PVM_2_3-SEAAD,HTR2C,0.0,0.0,0.029,0.031,21,1000
Micro-PVM_2_3-SEAAD,ROBO2,0.23809523809523808,0.3333333333333333,0.067,0.0698841148762225,21,1000
Micro-PVM_2_3-SEAAD,PDZD2,0.09523809523809523,0.09523809523809523,0.076,0.08367919944483981,21,1000
Micro-PVM_2_3-SEAAD,PEX5L,0.047619047619047616,0.047619047619047616,0.317,0.4972712399568731,21,1000
Micro-PVM_2_3-SEAAD,TNR,0.047619047619047616,0.047619047619047616,0.386,0.8327316547904207,21,1000
Micro-PVM_2_3-SEAAD,CACNA2D3,0.047619047619047616,0.047619047619047616,0.124,0.1504486627581867,21,1000
Micro-PVM_2_3-SEAAD,VIP,0.047619047619047616,0.047619047619047616,0.05,0.062,21,1000
Micro-PVM_2_3-SEAAD,DCLK1,0.14285714285714285,0.14285714285714285,0.3,0.5093354089099289,21,1000
Micro-PVM_2_3-SEAAD,GRIP1,0.09523809523809523,0.09523809523809523,0.054,0.07089837224760522,21,1000
Micro-PVM_2_3-SEAAD,ITGA8,0.0,0.0,0.046,0.058,21,1000
Micro-PVM_2_3-SEAAD,CD74,0.8095238095238095,2.5238095238095237,0.995,51.22760754952897,21,1000
Micro-PVM_2_3-SEAAD,PLD5,0.047619047619047616,0.047619047619047616,0.148,0.17600323618810826,21,1000
Micro-PVM_2_3-SEAAD,NLGN1,0.14285714285714285,0.19047619047619047,0.027,0.028,21,1000
Micro-PVM_2_3-SEAAD,LAMP5,0.0,0.0,0.109,0.1579140381722923,21,1000
Micro-PVM_2_3-SEAAD,ASTN2,0.09523809523809523,0.09523809523809523,0.229,0.32464563415409264,21,1000
Micro-PVM_2_3-SEAAD,DLX1,0.0,0.0,0.128,0.147,21,1000
Micro-PVM_2_3-SEAAD,KCNMB2,0.0,0.0,0.034,0.034,21,1000
Micro-PVM_2_3-SEAAD,GRID2,0.3333333333333333,2.8095238095238093,0.15,0.252,21,1000
Micro-PVM_2_3-SEAAD,FGF13,0.0,0.0,0.132,0.1580200139563004,21,1000
Micro-PVM_2_3-SEAAD,GRIK3,0.0,0.0,0.114,0.134,21,1000
Micro-PVM_2_3-SEAAD,RGS6,0.047619047619047616,0.047619047619047616,0.129,0.15907601677235492,21,1000
Micro-PVM_2_3-SEAAD,RBFOX3,0.0,0.0,0.43,0.9211899164785621,21,1000
Micro-PVM_2_3-SEAAD,SATB2,0.047619047619047616,0.047619047619047616,0.578,1.0491259772051418,21,1000
Micro-PVM_2_3-SEAAD,CUX2,0.047619047619047616,0.047619047619047616,0.156,0.22406199260096388,21,1000
Micro-PVM_2_3-SEAAD,PRRT4,0.0,0.0,0.033,0.035896190552410584,21,1000
Micro-PVM_2_3-SEAAD,ANK1,0.047619047619047616,0.047619047619047616,0.103,0.11578030542863309,21,1000
Micro-PVM_2_3-SEAAD,SLC32A1,0.0,0.0,0.127,0.17678396568012086,21,1000
Micro-PVM_2_3-SEAAD,BTBD11,0.0,0.0,0.058,0.06317089033729696,21,1000
Micro-PVM_2_3-SEAAD,GRIP2,0.0,0.0,0.111,0.20417013969745226,21,1000
Micro-PVM_2_3-SEAAD,GAD2,0.047619047619047616,0.047619047619047616,0.041,0.04569423409269145,21,1000
Micro-PVM_2_3-SEAAD,CBLN2,0.047619047619047616,0.047619047619047616,0.096,0.11267223598506232,21,1000
Micro-PVM_2_3-SEAAD,TAFA1,0.14285714285714285,0.14285714285714285,0.04,0.041988472115293135,21,1000
Micro-PVM_2_3-SEAAD,KCNIP4,0.42857142857142855,0.7619047619047619,0.045,0.054,21,1000
Micro-PVM_2_3-SEAAD,CA10,0.0,0.0,0.127,0.15959042464510204,21,1000
Micro-PVM_2_3-SEAAD,CSMD1,0.38095238095238093,0.47619047619047616,0.111,0.129,21,1000
Micro-PVM_2_3-SEAAD,CNTNAP5,0.0,0.0,0.132,0.18032573580298475,21,1000
Micro-PVM_2_3-SEAAD,FRMPD4,0.047619047619047616,0.047619047619047616,0.093,0.10714044336484894,21,1000
Micro-PVM_2_3-SEAAD,HS6ST3,0.09523809523809523,0.09523809523809523,0.106,0.12358142239410494,21,1000
Micro-PVM_2_3-SEAAD,SORCS1,0.23809523809523808,0.23809523809523808,0.097,0.11488411487622249,21,1000
Micro-PVM_2_3-SEAAD,TENM2,0.047619047619047616,0.047619047619047616,0.136,0.1702388419668354,21,1000
Micro-PVM_2_3-SEAAD,CLSTN2,0.0,0.0,0.228,0.40593219375246725,21,1000
Micro-PVM_2_3-SEAAD,ROBO1,0.14285714285714285,0.14285714285714285,0.165,0.21066872287961974,21,1000
Micro-PVM_2_3-SEAAD,ZNF385D,0.047619047619047616,0.047619047619047616,0.072,0.09089619055241059,21,1000
Micro-PVM_2_3-SEAAD,COL11A1,0.0,0.0,0.085,0.09506337234236384,21,1000
Micro-PVM_2_3-SEAAD,SLC24A2,0.047619047619047616,0.047619047619047616,0.285,0.4414019388870173,21,1000
Micro-PVM_2_3-SEAAD,PDE4B,0.8095238095238095,2.0,0.682,1.7804242814387172,21,1000
Micro-PVM_2_3-SEAAD,RBFOX1,0.38095238095238093,0.5238095238095238,0.197,0.28916026934500866,21,1000
Micro-PVM_2_3-SEAAD,GRIN3A,0.0,0.0,0.068,0.07472545820784218,21,1000
Micro-PVM_2_3-SEAAD,SEMA6D,0.19047619047619047,0.23809523809523808,0.227,0.3256098054104376,21,1000
Micro-PVM_2_3-SEAAD,TMEM132D,0.0,0.0,0.194,0.24020857568287043,21,1000
Micro-PVM_2_3-SEAAD,ITGB8,0.0,0.0,0.329,0.48636904880816084,21,1000
Micro-PVM_2_3-SEAAD,PLCB1,0.09523809523809523,0.09523809523809523,0.149,0.18106652468786744,21,1000
Micro-PVM_2_3-SEAAD,SORCS3,0.09523809523809523,0.09523809523809523,0.105,0.12161588658315117,21,1000
Micro-PVM_2_3-SEAAD,STXBP6,0.0,0.0,0.174,0.2093600978988001,21,1000
Micro-PVM_2_3-SEAAD,GRM7,0.14285714285714285,0.14285714285714285,0.114,0.13435435566009965,21,1000
Micro-PVM_2_3-SEAAD,HCN1,0.19047619047619047,0.19047619047619047,0.093,0.10882083396760817,21,1000
Micro-PVM_2_3-SEAAD,RFX3,0.42857142857142855,0.7619047619047619,0.391,0.5727009937346063,21,1000
Micro-PVM_2_3-SEAAD,GPC5,0.0,0.0,0.167,0.2199882978145822,21,1000
Micro-PVM_2_3-SEAAD,EBF1,0.0,0.0,0.087,0.129,21,1000
Micro-PVM_2_3-SEAAD,UNC5B,0.19047619047619047,0.23809523809523808,0.64,1.6730033577410586,21,1000
Micro-PVM_2_3-SEAAD,CARTPT,0.0,0.0,0.072,0.08745960728138547,21,1000
Micro-PVM_2_3-SEAAD,HTR2A,0.047619047619047616,0.047619047619047616,0.09,0.1,21,1000
Micro-PVM_2_3-SEAAD,LAMA4,0.0,0.0,0.145,0.21104614105322123,21,1000
Micro-PVM_2_3-SEAAD,RGS12,0.42857142857142855,0.5714285714285714,0.348,0.524061208376652,21,1000
Micro-PVM_2_3-SEAAD,CACHD1,0.0,0.0,0.169,0.22214222538994818,21,1000
Micro-PVM_2_3-SEAAD,EGFR,0.0,0.0,0.136,0.19502007310106875,21,1000
Micro-PVM_2_3-SEAAD,SLIT3,0.0,0.0,0.125,0.16194346467153867,21,1000
Micro-PVM_2_3-SEAAD,NFIA,0.47619047619047616,0.8095238095238095,0.401,0.5983168283448356,21,1000
Micro-PVM_2_3-SEAAD,LUZP2,0.0,0.0,0.208,0.27394445602060175,21,1000
Micro-PVM_2_3-SEAAD,CHODL,0.0,0.0,0.025,0.03802992329606979,21,1000
Micro-PVM_2_3-SEAAD,NPY,0.0,0.0,0.104,0.1400299232960698,21,1000
Micro-PVM_2_3-SEAAD,DLC1,0.047619047619047616,0.047619047619047616,0.13,0.20061588658315116,21,1000
Micro-PVM_2_3-SEAAD,L3MBTL4,0.42857142857142855,0.6190476190476191,0.362,0.6157427513867708,21,1000
Micro-PVM_2_3-SEAAD,MOG,0.0,0.0,0.441,1.58021391778506,21,1000
Micro-PVM_2_3-SEAAD,NXPH2,0.0,0.0,0.011,0.011,21,1000
Micro-PVM_2_3-SEAAD,SULF1,0.0,0.0,0.052,0.055694234092691454,21,1000
Micro-PVM_2_3-SEAAD,NDNF,0.0,0.0,0.032,0.03866106429072018,21,1000
Micro-PVM_2_3-SEAAD,FOXP2,0.8571428571428571,2.142857142857143,0.204,0.26176010154211815,21,1000
