group,rank,gene,wilcoxon_score,logfoldchange,pval_adj,round,marker_type,detection_efficiency,eff_source,frac_snrna_in_group,predicted_spatial_detection,composite_score,spatially_validated,best_spatial_r
Sst,28,COL25A1,89.16802215576172,3.4391844272613525,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.8041691133294186,0.36327894737476846,32.39286522823515,False,
Sst,29,AAK1,88.20206451416016,1.0941898822784424,0.0,1,subclass_vs_all,0.2429592506628209,calibrated,0.9895772166764533,0.24042693903671103,21.206152387858037,False,
Sst,30,FLT3,87.81925201416016,3.6399717330932617,0.0,1,subclass_vs_all,0.1947626721469155,calibrated,0.7494128009395185,0.14595763965208508,12.817890739998434,False,
Sst,31,PTPRM,87.61912536621094,2.3172197341918945,0.0,1,subclass_vs_all,0.461194299332449,calibrated,0.9829712272460364,0.4533407264136932,39.72131794125052,False,
Sst,32,RASGRF2,86.59032440185547,2.060976266860962,0.0,1,subclass_vs_all,0.3130902774684391,calibrated,0.9731356429829712,0.3046793084759663,39.573420239200374,True,0.8457658196917845
Sst,33,AUTS2,86.21206665039062,1.0063819885253906,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9998532002348797,0.4516781508889281,38.94010684896146,False,
Sst,34,ASTN2,84.09905242919922,1.8724063634872437,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.985173223722842,0.4450465527258253,56.14199005668533,True,0.912872351547694
Sst,35,GRIA3,83.37459564208984,1.5078034400939941,0.0,1,subclass_vs_all,0.4147245734788627,calibrated,0.9907516147974164,0.410889040870353,34.25770763633181,False,
Sst,36,ELAVL2,82.94578552246094,1.7258052825927734,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.9578684674104522,0.4327117801424542,35.891618508738276,False,
Sst,37,TMTC1,81.7251205444336,1.9885368347167969,0.0,1,subclass_vs_all,0.2175686181822476,calibrated,0.9025249559600704,0.1963611075432264,16.047635184208666,False,
Sst,38,LHFPL3,80.88268280029297,2.728332042694092,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.8349970640046976,0.3772053035172842,30.509376914976734,False,
Sst,39,PAWR,80.73379516601562,3.7977864742279053,0.0,1,subclass_vs_all,0.25317301087751,calibrated,0.6854081033470346,0.17352683320421228,14.009479807716232,False,
Sst,40,SLC8A1,80.21546936035156,1.7071938514709473,0.0,1,subclass_vs_all,0.1632955254562275,calibrated,0.9954492072812684,0.16255240136797985,13.039217171384758,False,
Sst,41,GPC6,78.82183837890625,2.3047373294830322,0.0,1,subclass_vs_all,0.0724451669159837,calibrated,0.9387844979448033,0.06801039965174924,5.3607047294350005,False,
Sst,42,FRMD3,78.40887451171875,2.0410053730010986,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,0.8436582501467997,0.3811179464335148,29.88302923606941,False,
Sst,43,DLGAP1,77.93453979492188,1.107534646987915,0.0,1,subclass_vs_all,0.4517444668705591,median_fallback,1.0,0.4517444668705591,35.206497130459354,False,
Sst,44,LIMCH1,77.27452850341797,1.0649629831314087,0.0,1,subclass_vs_all,0.4010658339588674,calibrated,0.9957428068115091,0.3993584192224013,30.86023354928139,False,
Sst,45,TRHDE,77.1465072631836,2.8272647857666016,0.0,1,subclass_vs_all,0.112843585569672,calibrated,0.8189958896065767,0.09241843275002938,7.129759293402186,False,
Sst,46,BACH1,77.06385040283203,2.293778657913208,0.0,1,subclass_vs_all,0.2379261614263533,calibrated,0.8537874339401057,0.20313836683142555,15.654624712572595,False,
