celltype,beta_snrnaseq,se,pval_snrnaseq,padj_snrnaseq,logFC_xenium,pval_xenium,FDR_xenium,SE_xenium,class
Micro-PVM_1,0.0527508003556361,0.0897960682340473,0.556900773385329,0.821658777149494,-0.0019193259090124,0.99237862547768,0.99237862547768,0.198676436866893,NN
Micro-PVM_2,-0.100563384756968,0.0917868116875121,0.273245496006759,0.703643188011359,-0.595901181180664,0.0403042203844199,0.255931799441066,0.27355474314264,NN
OPC_1,-0.0549555820379928,0.0917733247065534,0.549293797790501,0.821658777149494,-0.178627595529529,0.177932410187681,0.493993070495751,0.128381190616995,NN
Oligo_1,0.069082530796283,0.128819789010009,0.591770123604454,0.821658777149494,0.0099063139361252,0.966238128164237,0.981697938214865,0.231411510498557,NN
Oligo_4,-0.0184114168510062,0.0932405488410308,0.843466421776955,0.962874708026208,-0.469500419467073,0.018072117315605,0.240174035836517,0.183885340745571,NN
Pax6_1,0.00296172079946957,0.0639027479984912,0.963033427779211,0.97149082511797,-0.022839477183578,0.875431955062391,0.942202188923082,0.144018692872557,GABA
Pax6_4,0.12503839851961,0.0748497832126319,0.0948156313587353,0.461710900529494,0.0301920653549979,0.865014258336589,0.942202188923082,0.175554039632341,GABA
Pvalb_10,0.0384590174029198,0.0797867927865419,0.62979006893189,0.821961222990208,-0.0665524331620816,0.723339404033226,0.891884507885628,0.185623537949679,GABA
Pvalb_12,0.137297316575874,0.0789684059856601,0.0820988031728138,0.43786028358834,0.352831666463984,0.0922069406565945,0.382625567204907,0.200465054602393,GABA
Pvalb_13,0.0403904427661185,0.0708185552303779,0.568449146127831,0.821658777149494,-0.36231868028432,0.0185247216544231,0.240174035836517,0.142533368859357,GABA
Pvalb_15,-0.0305906936777007,0.0398133042694916,0.442277168385787,0.800532468051699,-0.14867207003715,0.113486248522183,0.411792958923351,0.0902173639464187,GABA
Pvalb_5,-0.0576090630626885,0.068521829772975,0.400493443918162,0.800532468051699,-0.3558650029372,0.195327971304934,0.506258211341359,0.266495050414916,GABA
Pvalb_6,-0.0745442132889921,0.0571663101779003,0.192237490107896,0.598072191446786,-0.0448827522122572,0.692621272839391,0.891746888163519,0.112064758347001,GABA
