cell_type,ctrl_mean,scz_mean,log2FC,U_stat,pvalue,padj
L5 IT_2,0.007243135130703159,0.00759139341433699,0.06774129199458953,75.0,0.8852339144732017,0.99061890429144
Sst_13,0.0012952610675578738,0.0012474671329572283,-0.05419846541596844,75.0,0.8852339144732017,0.99061890429144
Pvalb_6,0.00014240434336621548,0.00011587812226958609,-0.29508381488449376,70.0,0.9306861800737112,1.0
L2/3 IT_1,0.1662239778949167,0.16932088543866422,0.02663127278005856,70.0,0.9309874465595671,1.0
Chandelier_1,2.7926636659582804e-05,2.4009443580679803e-05,-0.20992562858787686,71.0,0.9748991155119652,1.0
L2/3 IT_6,0.009885869005309704,0.009292367154642501,-0.08931231180378091,71.0,0.9769702553219757,1.0
L6b_1,2.4689163432386256e-06,4.060287143506789e-06,0.5447342034090528,71.5,1.0,1.0
Sst_12,0.00020946158394061665,0.0001567456581619802,-0.41595662213457213,72.0,1.0,1.0
Astro_3,7.4913100803068435e-06,3.7202380952380952e-06,-0.847127523980494,72.5,1.0,1.0
L5 IT_1,1.3071895424836602e-05,9.397083145391671e-06,-0.43663782301983134,72.5,1.0,1.0
Sst_4,5.371492415452709e-06,4.2908878705181674e-06,-0.2681214961138979,72.5,1.0,1.0
L2/3 IT_8,0.0002534929575067021,0.0003184550854221468,0.3279873724872701,72.0,1.0,1.0
