stratum,celltype,scz_coef,scz_se,scz_pval,sex_coef,sex_pval,age_coef,age_pval,r_squared,n,scz_pval_fdr
L6,L4 IT,-0.006128845503745349,0.0025541584239227545,0.02627343374659892,0.0006351490097849161,0.8067063893287446,-4.220688317221026e-05,0.778710492979892,0.23513159779627835,24,0.15764060247959352
L6,Sst,-0.004900322784487397,0.002243387009713745,0.041014836129244954,0.0032176223089692172,0.16813653128490508,0.000108566236220803,0.41406875756772,0.2587870205079369,24,0.18054418710689188
L6,VLMC,0.043315632927322816,0.02026920566571055,0.04513604677672297,-0.021781059884188648,0.29673305015220075,0.00018009021526287216,0.879822525445857,0.21723629946443357,24,0.18054418710689188
L6,L5/6 NP,-0.003496145004091324,0.0018522857129213682,0.07369488092085756,0.0007363928447186594,0.6960129063185305,-1.613073402401389e-05,0.8821890597995361,0.15911068148899243,24,0.2406427990454867
L6,L5 ET,-0.0021489131118257333,0.001196407679482746,0.08759572162133854,-0.00021781123454734513,0.8577862784771528,6.292115582321421e-05,0.37548038182228793,0.15633616506563264,24,0.2406427990454867
L6,L6b,0.009586294117315262,0.005384937463802099,0.09024104964205751,0.0040649912258098955,0.4604179919073931,4.637404309132333e-05,0.8834877852219774,0.17368634548975792,24,0.2406427990454867
L6,Pax6,0.0017345454117057475,0.001083970725487991,0.12523757447944409,-0.0009027653065689718,0.41612209193202454,-6.0264541590343805e-05,0.3493778739698278,0.16077189463061725,24,0.2882918216339031
L6,L5 IT,-0.006349911790983519,0.004044885141211967,0.13213375158220558,0.00022723144930949894,0.955887517556364,0.0004089224004425628,0.09678047871645769,0.19570400529699716,24,0.2882918216339031
L6,Pvalb,-0.001747641697797613,0.0012881012138554863,0.1899757414102362,-4.695423241515449e-05,0.9713673193618877,1.4334280709022476e-05,0.8498286426521217,0.0849191492733038,24,0.3799514828204724
L6,L2/3 IT,0.001653727676588628,0.0015807532249212997,0.307964923513321,-0.0001629359944587145,0.9191670226264558,-0.00016600899008912978,0.0853332472443069,0.1666968061542763,24,0.5685506280245927
L6,Oligodendrocyte,0.01440208796427465,0.014604806323607084,0.3358548177523022,-0.011969205057611537,0.4234792153540181,0.0008413917825436299,0.33258572847872425,0.11624056643986991,24,0.5757511161468037
