stratum,celltype,scz_mean,ctrl_mean,scz_median,ctrl_median,diff_mean,log2_ratio,n_scz,n_ctrl,U_stat,pval_nominal,pval_fdr
L5,L6 IT Car3,7.27630970067441e-05,0.00011498946903631577,8.493796110747872e-05,0.0,-4.222637202957167e-05,-0.65302269059863,12,12,95.0,0.16507222541225253,0.39598856821572453
L5,Pvalb,0.01899868243419665,0.01741124429019826,0.019230449605229148,0.01744789471925885,0.0015874381439983896,0.1258731390702411,12,12,96.0,0.1748533068932927,0.39598856821572453
L5,L5 IT,0.11285244606085128,0.10454339169478083,0.11196103104351154,0.10256524930751805,0.008309054366070448,0.1103348025957978,12,12,95.0,0.1939308522824107,0.39598856821572453
L5,L6 IT,0.05798716525216182,0.048429228745719234,0.06147753660287765,0.048288152691375846,0.009557936506442585,0.25985067496964964,12,12,94.0,0.21449380778351745,0.39598856821572453
L5,Lamp5,0.006693880638616191,0.007720881093441326,0.0069117684273479005,0.0071942587292438,-0.0010270004548251343,-0.20589400456907234,12,12,50.0,0.21449380778351745,0.39598856821572453
L5,Vip,0.013321091962459399,0.014555210353089284,0.012986837114241749,0.01473975734837115,-0.0012341183906298854,-0.1278141589675256,12,12,51.0,0.23658409332187624,0.4055727314089307
L5,L5 ET,0.011084743828639082,0.011473572248359216,0.010539170958722501,0.011561652633575548,-0.00038882841972013443,-0.049734798470442765,12,12,59.0,0.47048642205878966,0.7527782752940635
L5,L5/6 NP,0.012397280907218597,0.011931344070211918,0.012520775115711199,0.01060707614571085,0.00046593683700667937,0.055262612907867284,12,12,83.0,0.5443701458566098,0.7685225588563903
L5,L6 CT,0.0005610541963092251,0.0004867594771024667,0.0005799035215945,0.00040164313012965003,7.429471920675842e-05,0.20453934514043695,12,12,83.0,0.5443701458566098,0.7685225588563903
L5,Sncg,0.0002550624654600568,0.00019877418678754887,0.00022067297547355002,0.0002157711537771,5.6288278672507935e-05,0.35812561137061116,12,12,80.5,0.6440951918542065,0.858793589138942
L5,Astrocyte,0.08569127535007388,0.08666399102278315,0.08656505633724265,0.09228534807722995,-0.0009727156727092623,-0.016284163770386398,12,12,67.0,0.7950121719642381,0.9769702553219757
L5,L2/3 IT,0.06214854168136435,0.06270199175059941,0.06076714381428615,0.06065264033495995,-0.0005534500692350661,-0.0127905278056389,12,12,69.0,0.8852339144732017,0.9769702553219757
L5,OPC,0.006051528968444024,0.006038075249325518,0.0054988069537552,0.00550609696145065,1.3453719118506138e-05,0.0032104295697828905,12,12,70.0,0.9309874465595671,0.9769702553219757
L5,L4 IT,0.1332736859858399,0.13667382032978573,0.1403094954673258,0.1261466867195369,-0.0034001343439458154,-0.036344696101717304,12,12,73.0,0.9769702553219757,0.9769702553219757
L5,Sst,0.033670918184115224,0.03384388401752728,0.033625148974688546,0.0334421036995817,-0.00017296583341205873,-0.007391863591538846,12,12,71.0,0.9769702553219757,0.9769702553219757
L5,Sst Chodl,0.0021906331387123667,0.002140479483180458,0.0020963638675004,0.0018972707515336,5.015365553190853e-05,0.033398467970656674,12,12,73.0,0.9769702553219757,0.9769702553219757
L6,Chandelier,0.012850838532662777,0.017628959256972377,0.01309443429839275,0.0190981108658886,-0.0047781207243096,-0.45605438020771816,12,12,27.0,0.01019310499110825,0.13259941399882616
L6,VLMC,0.11845610058754913,0.07648852202566031,0.0907167989262108,0.06766108411361275,0.04196757856188882,0.6310306417918269,12,12,115.0,0.014137969455911488,0.13259941399882616
L6,Endothelial,0.09374722760085163,0.11092059264858613,0.0978867664034747,0.10878266280431925,-0.017173365047734493,-0.24267691597861074,12,12,30.0,0.01657492674985327,0.13259941399882616
L6,L4 IT,0.020368125207957027,0.026553498144580228,0.020215028888688202,0.0277587284984038,-0.006185372936623201,-0.3825722418229725,12,12,35.0,0.035089116094047856,0.21053469656428714
L6,L6 CT,0.012395509329154557,0.017864063363011027,0.0145291156362574,0.0171805900649032,-0.00546855403385647,-0.5272070942774921,12,12,37.0,0.04638659328139865,0.2123918291423337
L6,L5/6 NP,0.013665393575113758,0.01714200487904747,0.013743092734422,0.01642186579297275,-0.0034766113039337108,-0.32698743133188457,12,12,38.0,0.053097957285583426,0.2123918291423337
L6,L5 ET,0.007107266578491385,0.009111155095761192,0.0070881152848251,0.0076703407006346504,-0.0020038885172698065,-0.3582945158152475,12,12,40.0,0.06896433333905405,0.23644914287675672
L6,Sst,0.0195987996084209,0.02394943876122824,0.01880985894675645,0.0241026554529746,-0.00435063915280734,-0.28921318166135396,12,12,44.0,0.11235119769046394,0.33605899138766154
L6,L6b,0.06935967878190494,0.05931437204402202,0.07086574355520875,0.0606441037575622,0.010045306737882918,0.22571197825736503,12,12,99.0,0.12602212177037309,0.33605899138766154
L6,Pax6,0.01064674736940891,0.009143718444441534,0.0110983672549624,0.0077888740552618,0.0015030289249673753,0.21953759027781056,12,12,97.0,0.1572127533400038,0.37731060801600913
L6,Microglia-PVM,0.03338646777144382,0.039643021575987474,0.0321195244253115,0.03910039327698965,-0.006256553804543652,-0.24779664183513495,12,12,48.0,0.1748533068932927,0.38149812413082046
L6,L5 IT,0.031968599610700914,0.037239103355760916,0.0321994481443909,0.035862989551691496,-0.005270503745060003,-0.2201564011146172,12,12,52.0,0.2602362026171888,0.5204724052343777
L6,L2/3 IT,0.010673327875292767,0.009463694845873508,0.010839889180420649,0.0080237925877098,0.0012096330294192586,0.17351733387825408,12,12,90.0,0.3123214216762161,0.5562664999563318
L6,L6 IT,0.14666943960959658,0.15658924735398783,0.15146798878166035,0.1561738594858474,-0.009919807744391246,-0.09441622716733303,12,12,56.0,0.3708443333042212,0.5562664999563318
L6,Pvalb,0.009639797949138358,0.011354178931665166,0.009789416687034948,0.010766764146307,-0.001714380982526808,-0.23612597437104535,12,12,56.0,0.3708443333042212,0.5562664999563318
L6,Vip,0.0038021724173899585,0.004058616170826575,0.00331325412624835,0.00389708346346765,-0.0002564437534366168,-0.0941399844738439,12,12,56.0,0.3708443333042212,0.5562664999563318
L6,Oligodendrocyte,0.27674930011413346,0.2611626365485966,0.2715500587635912,0.2624372733919612,0.01558666356553684,0.08363084611100553,12,12,87.0,0.40250382378200356,0.5584297134939963
L6,L6 IT Car3,0.0013709892538248337,0.0018173046341181216,0.0010384118290702499,0.0017356873289379,-0.0004463153802932878,-0.4063247436538967,12,12,57.5,0.41882228512049724,0.5584297134939963
L6,Astrocyte,0.08805830818774063,0.09166633622182385,0.08598295465021655,0.09745759686254515,-0.0036080280340832216,-0.05793224034635918,12,12,62.0,0.5833604667027033,0.7368763789928884
L6,Lamp5,0.002650258966736758,0.0025089020561509085,0.0025848235743332997,0.0022674559323962,0.00014135691058584938,0.07904652803635105,12,12,81.0,0.623604884395689,0.7483258612748267
L6,Lamp5 Lhx6,0.0048793619061054914,0.004698041093703392,0.0045821183470865,0.0052422574815308,0.00018132081240209916,0.05462175131058874,12,12,67.0,0.7950121719642381,0.9085853393877007
L6,OPC,0.008921941759173133,0.00847199821355905,0.0073767703089223004,0.00763382856630285,0.00044994354561408295,0.07464685845273554,12,12,75.0,0.8852339144732017,0.9657097248798564
L6,Sst Chodl,0.002802642704175617,0.002951300566124734,0.0029341384126378,0.0026281190813305,-0.00014865786194911707,-0.07453710173199032,12,12,74.0,0.9309874465595671,0.9714651616273743
L6,Sncg,0.00023170470303158358,0.0002592937685101917,0.00017052743140185,0.00020923332874459998,-2.7589065478608114e-05,-0.16164040538451943,12,12,72.0,1.0,1.0
