stratum,celltype,scz_mean,ctrl_mean,diff_mean,log2_ratio,n_scz,n_ctrl,U_stat,pval_nominal,pval_fdr_global,pval_fdr_stratum
L4,Chandelier_2,0.014688477224609675,0.018291657887301832,-0.0036031806626921573,-0.3164816575154025,12,12,33.0,0.02622938783485701,0.23839599165458927,0.1910998256539582
L6,L2/3 IT_2,0.009702215500014166,0.012765590486492557,-0.003063374986478391,-0.3958384635420327,12,12,34.0,0.030382821976577514,0.24847732374529927,0.23221156796384246
L2/3,Sst_11,0.016035754810827366,0.012702351799542632,0.003333403011284734,0.3361730237244976,12,12,110.0,0.030382821976577514,0.24847732374529927,0.27952196218451314
L6,Astro_4,0.05514514534787715,0.03932568554831211,0.01581945979956504,0.48775144550055943,12,12,110.0,0.030382821976577514,0.24847732374529927,0.23221156796384246
L4,Endo_2,0.05300793709146819,0.06254792018759993,-0.009539983096131736,-0.23874936595488494,12,12,34.0,0.030382821976577514,0.24847732374529927,0.2066031894407271
L5,L6b_1,0.021707017330089434,0.01473199211242139,0.006975025217668044,0.5591775095414837,12,12,110.0,0.030382821976577514,0.24847732374529927,0.2788535246921574
L5,Astro_3,0.0014020061761847917,0.00018045632722442305,0.0012215498489603687,2.9508270915420924,12,12,108.5,0.030983724965795264,0.24847732374529927,0.2788535246921574
L6,L5/6 NP_3,0.010292823169203975,0.0134243291514503,-0.0031315059822463256,-0.38317855472019213,12,12,35.0,0.035089116094047856,0.2707820468389731,0.25030236147087476
L2/3,Vip_13,0.00030065174976968333,0.0005014539457329322,-0.00020080219596324886,-0.7361074158972527,12,12,35.0,0.035089116094047856,0.2707820468389731,0.2934726073320366
L6,Sst_9,3.368748038270856e-05,0.00016575330566825,-0.00013206582528554143,-2.2652284056978047,12,12,39.5,0.039132554589600035,0.2899172791505876,0.25430828211411394
L6,L6b_2,0.02054756793782112,0.015777520857553476,0.004770047080267643,0.3810758860983366,12,12,108.0,0.04040411958822371,0.2899172791505876,0.25430828211411394
L5,Pvalb_8,0.023442541463023547,0.020242124715929215,0.003200416747094332,0.2117585240451076,12,12,108.0,0.04040411958822371,0.2899172791505876,0.30897787234527646
L5,Endo_2,0.04748566220830755,0.05647294009494854,-0.008987277886640992,-0.2500629352003641,12,12,36.0,0.04040411958822371,0.2899172791505876,0.30897787234527646
L5,L6b_5,9.80172506141155e-05,2.2746673810381394e-05,7.52705768037341e-05,2.0599544411989275,12,12,103.0,0.0429135933812884,0.3026148222921889,0.30897787234527646
L4,Pvalb_14,0.0026008881437050665,0.0019181565358959163,0.0006827316078091502,0.439086551632819,12,12,107.0,0.04638659328139865,0.3110183057720008,0.27831955968839195
L4,Astro_4,0.035207075335867706,0.019118227938428472,0.016088847397439234,0.8808820974093872,12,12,107.0,0.04638659328139865,0.3110183057720008,0.27831955968839195
L2/3,Lamp5_2,0.0027870562061849,0.002067744992040233,0.0007193112141446667,0.4305038262110192,12,12,107.0,0.04638659328139865,0.3110183057720008,0.3452435916723879
L6,Pvalb_10,6.459283222851597e-05,1.7979144192733334e-05,4.6613688035782634e-05,1.7891232305883666,12,12,100.0,0.04808673706272901,0.31721734610735747,0.2858489369840002
L4,Endo_1,0.14159906153061952,0.12155420375334834,0.020044857777271177,0.2202102361594264,12,12,106.0,0.053097957285583426,0.32904643226975183,0.30088842461830606
L5,Astro_2,0.03197695173811163,0.04829293361204001,-0.01631598187392838,-0.5947644441148737,12,12,38.0,0.053097957285583426,0.32904643226975183,0.3238325217659929
L2/3,Sst_2,0.0004172123256209832,0.000692378288662025,-0.00027516596304104173,-0.7294070811099617,12,12,38.0,0.053097957285583426,0.32904643226975183,0.3452435916723879
L2/3,Pvalb_14,0.002580019883303992,0.0017103493989156166,0.0008696704843883752,0.5928069167094573,12,12,106.0,0.053097957285583426,0.32904643226975183,0.3452435916723879
L5,Sst_19,0.0008241834465196916,0.0013617587864929168,-0.0005375753399732252,-0.7237434365716403,12,12,39.0,0.06060196971200612,0.33475384652482554,0.3238325217659929
L5,L2/3 IT_7,0.0029797412976849172,0.0017672009439890746,0.0012125403536958426,0.7533889309241598,12,12,105.0,0.06060196971200612,0.33475384652482554,0.3238325217659929
L4,Pax6_2,0.0002559506551130417,0.00041044967130975004,-0.00015449901619670836,-0.6792246400018113,12,12,39.0,0.06060196971200612,0.33475384652482554,0.3162005535376095
L5,Sst_20,0.0009791978961602582,0.000637552828423325,0.00034164506773693315,0.6182670690665681,12,12,105.0,0.06060196971200612,0.33475384652482554,0.3238325217659929
L5,Vip_21,0.040740651190016366,0.03461944739848726,0.006121203791529105,0.23488008276331657,12,12,105.0,0.06060196971200612,0.33475384652482554,0.3238325217659929
L6,Sst Chodl_1,0.000729066388103225,0.0005134767603196417,0.00021558962778358334,0.5049217505648137,12,12,105.0,0.06060196971200612,0.33475384652482554,0.3267265537973636
L6,L6b_1,0.03823377524786589,0.030741062720098772,0.00749271252776712,0.3146714239179393,12,12,104.0,0.06896433333905405,0.33475384652482554,0.3267265537973636
L5,L2/3 IT_3,0.0056060596301831835,0.007175938811487908,-0.0015698791813047244,-0.356124208043021,12,12,40.0,0.06896433333905405,0.33475384652482554,0.3238325217659929
